char_name,profession,sub_profession,rarity,max_hp,atk,def,magic_resistance,base_attack_time,attack_speed_bonus,cost,block_cnt,module_used
丰川祥子,WARRIOR,lord,5,2656,874.0,425.0,10.0,1.3,23.0,18.0,2.0,无言的约定
风笛,PIONEER,charger,5,2484,781.0,402.0,0.0,1.0,0.0,11.0,1.0,“棍棒与口袋”
歌蕾蒂娅,SPECIAL,hookmaster,5,2309,925.0,426.0,0.0,1.8,0.0,13.0,2.0,淡金坠饰
归溟幽灵鲨,SPECIAL,dollkeeper,5,3755,933.0,352.0,0.0,1.2,0.0,14.0,2.0,“唱片”收藏箱
号角,TANK,fortress,5,5575,1421.9,775.0,0.0,2.8,25.0,26.0,3.0,旧日新装
赫德雷,WARRIOR,crusher,5,7138,1861.0,0.0,0.0,2.5,0.0,22.0,2.0,笔迹
黑,SNIPER,closerange,5,1833,1199.0,240.8,0.0,1.6,0.0,18.0,1.0,老剃刀
黑键,CASTER,mystic,5,1853,1737.0,135.0,20.0,3.0,30.0,23.0,1.0,“乐理阐释者”
赫拉格,WARRIOR,musha,5,4575,948.0,334.0,0.0,1.2,0.0,24.0,1.0,藏锋
鸿雪,SNIPER,closerange,5,1802,1096.0,239.0,0.0,1.6,0.0,18.0,1.0,仪式感
煌,WARRIOR,centurion,5,3106,939.0,415.0,0.0,1.2,0.0,22.0,3.0,过载的武器与过热的心脏
荒芜拉普兰德,CASTER,funnel,5,1663,460.0,117.0,20.0,1.3,10.0,20.0,1.0,狼时
灰烬,SNIPER,fastshot,5,1889,691.0,169.0,0.0,1.0,8.0,12.0,1.0,破墙榴弹战术收纳包
霍尔海雅,CASTER,corecaster,5,1900,830.0,130.0,20.0,1.6,0.0,19.0,1.0,霍尔海雅特限证章
锏,WARRIOR,sword,5,3041,851.0,389.0,0.0,1.3,0.0,21.0,2.0,新合同
缄默德克萨斯,SPECIAL,executor,5,1758,900.0,320.0,0.0,0.93,17.0,8.0,1.0,“新车和新生活”
假日威龙陈,SNIPER,reaperrange,5,2681,986.0,203.0,0.0,2.3,0.0,22.0,1.0,假期的最后一天
棘刺,WARRIOR,lord,5,2762,842.0,472.0,10.0,1.3,7.0,18.0,2.0,沙蚀
酒神,SUPPORT,ritualist,5,1700,595.0,104.0,15.0,1.6,-24.0,14.0,1.0,酒神之心
机械师,TANK,shotprotector,5,3631,673.0,873.0,0.0,1.2,0.0,21.0,3.0,机械师特勤证章
凯尔希,MEDIC,physician,5,2033,575.0,280.0,0.0,2.85,0.0,18.0,1.0,Mon2tr
凯尔希·思衡托,MEDIC,watchman,5,2756,535.0,397.8,0.0,2.85,0.0,17.0,1.0,
卡涅利安,CASTER,phalanx,5,2106,1055.0,296.0,15.0,2.0,0.0,22.0,1.0,乡音
刻俄柏,CASTER,corecaster,5,1745,916.9,128.0,20.0,1.6,8.0,19.0,1.0,“很干的面包”
可露希尔,PIONEER,tactician,5,1942,642.6,176.0,0.0,1.0,0.0,7.0,1.0,给自己的小奖杯
空弦,SNIPER,fastshot,5,1705,1050.0,172.0,0.0,1.0,8.0,12.0,1.0,空弦特限证章
傀影,SPECIAL,executor,5,1775,819.5,352.0,0.0,0.93,0.0,8.0,1.0,“如影随形”
莱伊,SNIPER,hunter,5,2133,1434.4,228.0,0.0,1.6,7.0,19.0,1.0,证明什么？
老鲤,SPECIAL,merchant,5,2727,988.0,515.0,0.0,1.0,0.0,7.0,1.0,“但思善恶”
蕾缪安,SNIPER,longrange,5,1568,1731.1,175.0,0.0,2.7,0.0,20.0,1.0,“弹匣与花窗”
林,CASTER,phalanx,5,2048,1030.0,335.0,15.0,2.0,0.0,22.0,1.0,“七窍玲珑”
令,SUPPORT,summoner,5,1579,599.5,138.0,20.0,1.6,0.0,10.0,1.0,诗短梦长
铃兰,SUPPORT,slower,5,1600,1280.6,128.0,25.0,1.9,0.0,14.0,1.0,孩子们
灵知,SUPPORT,underminer,5,2135,628.0,132.0,25.0,1.6,0.0,11.0,1.0,灵知特限证章
领主·Sharp,WARRIOR,lord,5,2902,977.5,462.0,10.0,1.3,12.0,21.0,2.0,领主·Sharp证章
琳琅诗怀雅,SPECIAL,merchant,5,2660,1054.1,517.0,0.0,1.0,0.0,4.0,1.0,诗怀雅的龙门美食指南
凛御银灰,PIONEER,counsellor,5,2498,653.0,542.0,15.0,1.2,0.0,11.0,2.0,
流明,MEDIC,healer,5,1985,630.0,141.0,10.0,2.85,0.0,20.0,1.0,纯铜单筒望远镜
逻各斯,CASTER,corecaster,5,1833,855.0,119.0,10.0,1.6,0.0,19.0,1.0,来自河谷的笔盒
玛恩纳,WARRIOR,librator,5,4626,445.0,502.0,15.0,1.2,7.0,10.0,3.0,“鞘中人”
麦哲伦,SUPPORT,summoner,5,1553,582.0,140.0,20.0,1.6,0.0,10.0,1.0,专业无人机操作模块
玛露西尔,CASTER,splashcaster,5,1805,1425.0,175.5,20.0,2.9,32.0,24.0,1.0,才女的藏书
Mechanist,TANK,protector,5,3740,402.0,874.5,0.0,1.2,-7.0,22.0,3.0,Mechanist证章
迷迭香,SNIPER,bombarder,5,1944,870.0,275.0,15.0,2.1,7.0,23.0,1.0,迷迭香特限证章
Misery,SPECIAL,executor,5,1594,738.3,321.0,0.0,0.93,0.0,9.0,1.0,Misery证章
缪尔赛思,PIONEER,tactician,5,1983,590.0,185.0,0.0,1.0,0.0,11.0,1.0,落叶四季
谬因,CASTER,blastcaster,5,1860,1472.9,128.0,20.0,2.9,0.0,24.0,1.0,第三相态
Mon3tr,MEDIC,chainhealer,5,2235,842.4,261.0,0.0,2.85,22.0,16.0,1.0,记忆存档
莫斯提马,CASTER,splashcaster,5,1831,1055.0,132.0,20.0,2.9,7.0,24.0,1.0,锁与匙之家
魔王,SUPPORT,bard,5,2208,460.1,236.0,0.0,1.3,0.0,7.0,1.0,故事的结局
娜仁图亚,SNIPER,loopshooter,5,2500,837.0,215.0,0.0,1.0,0.0,14.0,1.0,“吹尽狂沙”
娜斯提,SUPPORT,craftsman,5,3010,679.0,521.0,0.0,1.5,0.0,17.0,2.0,工程师们
能天使,SNIPER,fastshot,5,1890,756.0,204.0,0.0,1.0,15.0,12.0,1.0,欢迎光临，企鹅物流
年,TANK,protector,5,5811,713.0,856.0,0.0,1.5,0.0,21.0,4.0,“请勿叩门”
妮芙,CASTER,primcaster,5,1800,877.6,129.0,15.0,1.6,12.0,19.0,1.0,心声
泥岩,TANK,unyield,5,4428,967.0,761.0,10.0,1.6,0.0,34.0,3.0,沃土的愿景
怒潮凛冬,WARRIOR,hammer,5,3330,1693.3,593.5,0.0,1.8,0.0,18.0,2.0,迟到的勋章
帕拉斯,WARRIOR,instructor,5,2473,845.0,455.0,0.0,1.05,0.0,15.0,2.0,“故乡的山岩”
佩佩,WARRIOR,hammer,5,3151,1809.6,432.0,0.0,1.8,0.0,18.0,2.0,晴雨
Pith,CASTER,splashcaster,5,1950,1302.0,112.0,20.0,2.9,0.0,33.0,1.0,Pith证章
麒麟R夜刀,SPECIAL,executor,5,1829,843.3,318.0,0.0,0.93,0.0,8.0,1.0,罗德岛制式双刀
琴柳,PIONEER,bearer,5,2035,679.0,407.0,0.0,1.3,0.0,10.0,1.0,牧人的歌
仇白,WARRIOR,lord,5,2480,849.0,497.0,10.0,1.3,7.0,18.0,2.0,雪浸过的斗笠
Raidian,SUPPORT,slower,5,1548,627.0,125.0,25.0,1.9,20.0,16.0,1.0,Raidian证章
忍冬,PIONEER,pioneer,5,2300,702.0,400.0,0.0,1.05,0.0,12.0,2.0,剑舞
塞雷娅,TANK,guardian,5,3500,641.3,716.1,10.0,1.2,0.0,20.0,3.0,闲置的拳击手套
森蚺,TANK,duelist,5,4848,1207.0,712.0,0.0,1.6,0.0,31.0,1.0,森蚺特限证章
山,WARRIOR,fighter,5,2995,730.9,482.4,0.0,0.78,0.0,9.0,1.0,“夜深人静”
珊比,TANK,primprotector,5,4534,787.0,604.0,10.0,1.6,0.0,24.0,3.0,出发的勇气
闪灵,MEDIC,physician,5,1613,841.2,268.0,0.0,2.85,18.0,18.0,1.0,“使徒”
Sharp,WARRIOR,fearless,5,4012,1362.0,287.0,0.0,1.5,10.0,20.0,1.0,Sharp证章
圣聆初雪,CASTER,phalanx,5,2058,1025.0,333.0,15.0,2.0,0.0,22.0,1.0,千分之一的心
圣约送葬人,WARRIOR,reaper,5,2841,989.0,513.0,0.0,1.3,12.0,21.0,2.0,已知悉
史尔特尔,WARRIOR,artsfghter,5,2916,860.0,414.0,20.0,1.25,0.0,19.0,1.0,萨米的不灭心脏碎片
弑君者,SPECIAL,executor,5,1830,723.0,325.0,0.0,0.93,0.0,9.0,1.0,木炭画
黍,TANK,guardian,5,4124,676.5,712.0,10.0,1.2,12.0,20.0,3.0,“钦天司时”
水月,SPECIAL,stalker,5,1998,1267.8,356.0,30.0,3.5,0.0,19.0,0.0,水月特限证章
斯卡蒂,WARRIOR,fearless,5,4186,1430.3,303.0,0.0,1.5,0.0,17.0,1.0,往日残梦
死芒,CASTER,soulcaster,5,2126,762.0,179.0,30.0,1.6,0.0,19.0,1.0,未处理的遗产
司霆惊蛰,WARRIOR,librator,5,4583,461.0,527.0,15.0,1.2,0.0,10.0,3.0,“一念”
伺夜,PIONEER,tactician,5,1905,592.0,154.0,0.0,1.0,0.0,14.0,1.0,时光不再
Stormeye,SNIPER,fastshot,5,1750,650.0,160.0,0.0,1.0,0.0,13.0,1.0,Stormeye证章
溯光星源,SUPPORT,slower,5,1535,737.0,125.0,25.0,1.9,1.0,15.0,1.0,探索者的收藏
塑心,SUPPORT,ritualist,5,1711,588.0,109.0,15.0,1.6,0.0,14.0,1.0,强弱法
提丰,SNIPER,siegesniper,5,1702,1283.0,113.0,0.0,2.4,7.0,22.0,1.0,冰原的影子
缇缇,MEDIC,incantationmedic,5,1755,677.0,117.0,20.0,1.6,22.0,15.0,1.0,远方的礼物
Touch,MEDIC,physician,5,1710,645.0,145.0,0.0,2.85,0.0,19.0,1.0,Touch证章
推进之王,PIONEER,pioneer,5,2511,750.2,449.9,0.0,1.05,0.0,12.0,2.0,“初诺”
W,SNIPER,aoesniper,5,1805,1146.1,133.0,0.0,2.8,0.0,27.0,1.0,刺棱钝刃
望,SPECIAL,traper,5,1630,756.0,174.0,0.0,0.85,0.0,10.0,1.0,兽形棋盒
维娜·维多利亚,WARRIOR,artsfghter,5,2895,898.9,493.0,15.0,1.25,0.0,19.0,1.0,秩序圣“球”
维什戴尔,SNIPER,bombarder,5,1888,874.0,256.0,15.0,2.1,7.0,23.0,1.0,“祖宗发射器”
薇薇安娜,WARRIOR,artsfghter,5,3340,834.0,447.0,15.0,1.25,0.0,19.0,1.0,目不能及之处
维伊,CASTER,mystic,5,1970,1825.6,121.0,20.0,3.0,45.0,24.0,1.0,军械库
温蒂,SPECIAL,pusher,5,2483,952.8,439.0,0.0,1.2,0.0,19.0,2.0,仿生海龙改型
乌尔比安,WARRIOR,crusher,5,7402,1844.0,0.0,0.0,2.5,0.0,22.0,2.0,乌尔比安的衣橱
夕,CASTER,splashcaster,5,1801,1166.9,127.0,20.0,2.9,7.0,24.0,1.0,“终夜无寐”
瑕光,TANK,guardian,5,3702,676.0,601.0,10.0,1.2,0.0,20.0,3.0,“长骑”
星熊,TANK,protector,5,3850,756.0,986.0,0.0,1.2,0.0,21.0,4.0,友人们的赠礼
信仰搅拌机,TANK,shotprotector,5,3677,733.7,856.0,0.0,1.2,3.0,22.0,3.0,“老朋友”
新约能天使,SPECIAL,geek,5,2560,986.5,150.0,10.0,1.3,0.0,11.0,1.0,新朋友圣城生活套组
焰狐龙梓兰,SNIPER,closerange,5,1788,1310.4,247.0,0.0,1.6,0.0,18.0,1.0,梓兰特制箭靶
焰尾,PIONEER,pioneer,5,2138,706.0,440.0,0.0,1.05,0.0,15.0,2.0,她们的未来
焰影苇草,MEDIC,incantationmedic,5,1738,692.8,114.0,20.0,1.6,0.0,15.0,1.0,“独属自己的一隅”
遥,SUPPORT,blessing,5,2447,612.0,178.0,25.0,1.6,0.0,11.0,1.0,迟来的纪念
耀骑士临光,WARRIOR,fearless,5,4080,1289.0,295.0,0.0,1.5,0.0,17.0,1.0,耀阳锋刃
夜莺,MEDIC,ringhealer,5,1705,485.0,169.0,37.0,2.85,0.0,16.0,1.0,“封闭的希望”
伊芙利特,CASTER,blastcaster,5,1680,1087.0,130.0,19.6,2.9,7.0,32.0,1.0,“同熔”
异客,CASTER,chain,5,1618,996.6,130.0,20.0,2.3,0.0,31.0,1.0,王权金币
隐德来希,WARRIOR,reaper,5,2880,855.0,502.0,0.0,1.3,7.0,21.0,2.0,玫瑰色故事集
伊内丝,PIONEER,agent,5,2421,674.0,311.0,0.0,1.0,0.0,9.0,1.0,角部“护理”套组
银灰,WARRIOR,lord,5,2890,1090.9,447.0,10.0,1.3,0.0,18.0,2.0,雪境羽兽护理套组
引星棘刺,SPECIAL,alchemist,5,1493,703.3,106.0,42.0,1.5,0.0,16.0,1.0,三面的金币
余,TANK,primprotector,5,4303,800.0,607.0,10.0,1.6,0.0,24.0,3.0,人间百味
远牙,SNIPER,longrange,5,1642,1718.1,163.0,0.0,2.7,7.0,20.0,1.0,支持者来信
郁金香,PIONEER,pioneer,5,2095,715.0,418.0,0.0,1.05,0.0,14.0,2.0,郁金香证章
予愿安洁莉娜,SPECIAL,skywalker,5,2685,1025.4,520.0,0.0,1.5,0.0,16.0,2.0,
早露,SNIPER,siegesniper,5,1755,1454.6,152.0,0.0,2.4,0.0,22.0,1.0,“心”
斩业星熊,TANK,artsprotector,5,3876,922.3,646.0,15.0,1.6,0.0,24.0,3.0,无迹
真言,CASTER,primcaster,5,1753,873.0,130.0,15.0,1.6,0.0,19.0,1.0,中枢神经探测模块
止颂,WARRIOR,fearless,5,4332,1402.4,277.0,0.0,1.5,0.0,18.0,1.0,苦修者的抗压训练
烛煌,CASTER,primcaster,5,1728,870.0,131.0,15.0,1.6,0.0,19.0,1.0,沟通小助手
浊心斯卡蒂,SUPPORT,bard,5,1733,480.0,280.0,0.0,1.3,0.0,6.0,1.0,蜕化的残迹
左乐,WARRIOR,musha,5,4198,936.0,415.0,0.0,1.2,0.0,24.0,1.0,“岂苦夜长”
埃拉托,SNIPER,siegesniper,4,1928,1131.0,125.0,0.0,2.4,0.0,21.0,1.0,改弦更张
爱丽丝,CASTER,mystic,4,1535,1516.0,125.0,24.0,3.0,0.0,22.0,1.0,梦之城堡立体书
阿兰娜,SUPPORT,craftsman,4,2560,690.0,502.0,0.0,1.5,0.0,16.0,2.0,“随身保险杠”
阿罗玛,CASTER,blastcaster,4,1841,933.0,115.0,20.0,2.9,0.0,31.0,1.0,柠檬味的童年
阿米娅,CASTER,corecaster,4,2030,762.0,121.0,20.0,1.6,0.0,18.0,1.0,DWDB-221E
安哲拉,SNIPER,longrange,4,1919,1236.0,128.0,0.0,2.7,22.0,19.0,1.0,枪支调试工具组
奥达,WARRIOR,hammer,4,2843,1654.3,367.0,0.0,1.8,0.0,18.0,2.0,旧背包
奥斯塔,SNIPER,reaperrange,4,2576,832.0,192.0,0.0,2.3,0.0,29.0,1.0,逃亡路上的应急小包
八幡海铃,SPECIAL,stalker,4,2074,909.0,361.0,30.0,3.5,7.0,19.0,0.0,额外训练
摆渡人,WARRIOR,centurion,4,2972,876.0,333.0,0.0,1.2,0.0,22.0,3.0,回家的路
柏喙,WARRIOR,sword,4,2550,784.4,332.0,0.0,1.3,5.0,20.0,2.0,做工优良的衬衣
白金,SNIPER,fastshot,4,1720,643.0,165.0,0.0,1.0,0.0,11.0,1.0,独自旅行套装
白面鸮,MEDIC,ringhealer,4,1710,458.0,150.0,0.0,2.85,0.0,15.0,1.0,医疗环境分析装置
拜松,TANK,protector,4,3706,375.0,966.0,0.0,1.2,0.0,21.0,3.0,“一路以来”
暴行,WARRIOR,centurion,4,2680,920.0,488.7,8.0,1.2,0.0,22.0,3.0,未竟的旅程
暴雨,TANK,protector,4,4105,378.0,821.0,0.0,1.2,0.0,21.0,4.0,人气角色贴纸
贝娜,SPECIAL,dollkeeper,4,2815,797.0,315.0,0.0,1.2,0.0,14.0,2.0,《乔弗瑞古今童话集》精装本
鞭刃,WARRIOR,instructor,4,1932,727.0,583.7,0.0,1.05,8.0,15.0,2.0,加长鞭刃丝线
冰酿,SNIPER,hunter,4,2060,1138.0,224.0,0.0,1.6,0.0,18.0,1.0,“桀骜”
波卜,SUPPORT,ritualist,4,1305,542.0,138.0,15.0,1.6,0.0,13.0,1.0,社工课程二手教材
薄绿,CASTER,phalanx,4,2115,859.0,287.8,15.0,2.0,0.0,22.0,1.0,注意力保持装置
伯塔尼,SUPPORT,ritualist,4,1465,533.0,108.0,15.0,1.6,8.0,14.0,1.0,昨日、今日、明日
布洛卡,WARRIOR,centurion,4,2490,1094.8,464.1,0.0,1.2,0.0,21.0,3.0,“兄弟”
裁度,SPECIAL,merchant,4,2813,861.0,411.0,0.0,1.0,0.0,6.0,1.0,“头面人物”
苍苔,WARRIOR,instructor,4,2090,745.0,456.0,0.0,1.05,0.0,15.0,2.0,餐后好时光
车尔尼,TANK,artsprotector,4,3597,665.0,634.0,25.0,1.6,0.0,24.0,3.0,“日复一日”
承曦格雷伊,SNIPER,bombarder,4,2120,760.0,255.0,15.0,2.1,0.0,22.0,1.0,新型电控设备技术原型
赤冬,WARRIOR,musha,4,3635,828.0,510.7,0.0,1.2,0.0,23.0,1.0,武将甲胄
初雪,SUPPORT,underminer,4,1785,495.0,102.0,33.0,1.6,8.0,10.0,1.0,“续针”
刺玫,MEDIC,incantationmedic,4,1693,640.0,100.0,20.0,1.6,0.0,15.0,1.0,碎片
达格达,WARRIOR,fighter,4,3247,688.0,345.0,0.0,0.78,0.0,9.0,1.0,后街圆盾
戴菲恩,CASTER,mystic,4,1652,1462.0,128.0,20.0,3.0,30.0,23.0,1.0,正义黯淡
但书,SUPPORT,slower,4,1418,697.7,102.0,20.0,1.9,12.0,13.0,1.0,黛丝特的毕业礼
导火索,WARRIOR,centurion,4,2840,905.0,349.8,0.0,1.2,0.0,22.0,3.0,副语言符号展示系统
德克萨斯,PIONEER,pioneer,4,2105,636.0,365.0,0.0,1.05,0.0,11.0,2.0,外勤私人补给包
蒂比,SPECIAL,skywalker,4,2368,810.0,430.0,0.0,1.5,0.0,15.0,2.0,
断崖,WARRIOR,lord,4,2615,826.0,375.0,10.0,1.3,18.0,17.0,2.0,荒野便携提神剂
铎铃,WARRIOR,crusher,4,6878,2224.8,0.0,0.0,2.5,0.0,21.0,2.0,致继任者
渡桥,PIONEER,tactician,4,1520,595.0,122.0,0.0,1.0,0.0,12.0,1.0,内敛锋芒
菲莱,TANK,primprotector,4,3527,738.0,584.0,10.0,1.6,0.0,23.0,3.0,被摩挲的日子
风丸,SPECIAL,dollkeeper,4,2372,864.0,358.0,0.0,1.2,0.0,13.0,2.0,旧物
风絮,MEDIC,watchman,4,1810,505.0,225.0,0.0,2.85,0.0,16.0,1.0,
芙兰卡,WARRIOR,fearless,4,3988,1136.0,260.0,0.0,1.5,0.0,16.0,1.0,尖端铝热单元
复奏,CASTER,splashcaster,4,1670,982.0,125.0,20.0,2.9,0.0,23.0,1.0,“暮约”
格拉尼,PIONEER,charger,4,2435,552.0,504.0,0.0,1.0,0.0,11.0,1.0,骑警套装
格劳克斯,SUPPORT,slower,4,1687,608.0,100.0,20.0,1.9,0.0,13.0,1.0,外骨骼装备
瑰盐,MEDIC,ringhealer,4,1975,406.9,151.0,0.0,2.85,0.0,16.0,1.0,多彩盐漠生活
哈蒂娅,WARRIOR,mercenary,4,2895,645.8,393.0,10.0,1.25,0.0,8.0,2.0,
海蒂,SUPPORT,bard,4,1610,445.8,312.8,0.0,1.3,0.0,6.0,1.0,华贵璀璨的死斗
海沫,WARRIOR,reaper,4,2830,710.0,454.0,0.0,1.3,31.0,20.0,2.0,“启航”
海霓,SUPPORT,underminer,4,1625,538.0,136.0,33.0,1.6,0.0,10.0,1.0,多功能测绘仪-改良版
哈洛德,MEDIC,wandermedic,4,1640,452.0,100.0,10.0,2.85,0.0,14.0,1.0,腿部护理套装
寒芒克洛丝,SNIPER,fastshot,4,1710,608.0,176.0,0.0,1.0,0.0,12.0,1.0,真心的话和想冒的险
寒檀,CASTER,splashcaster,4,1795,1183.3,123.0,20.0,2.9,0.0,23.0,1.0,“冰焰”
赫默,MEDIC,physician,4,1715,581.0,142.0,0.0,2.85,25.0,17.0,1.0,紧急防卫程序
衡沙,SUPPORT,summoner,4,1351,525.0,160.0,28.0,1.6,0.0,9.0,1.0,过往留痕
和弦,CASTER,mystic,4,1546,1502.0,125.0,24.0,3.0,0.0,22.0,1.0,情报人员资料夹
红,SPECIAL,executor,4,1505,699.0,302.0,0.0,0.93,4.0,7.0,1.0,神秘的道具包
吽,TANK,guardian,4,3353,442.0,822.2,10.0,1.2,0.0,19.0,3.0,八点档情景剧录像带
红隼,PIONEER,pioneer,4,2140,618.0,382.0,0.0,1.05,0.0,11.0,2.0,威吓者
华法琳,MEDIC,physician,4,1600,654.0,125.0,0.0,2.85,0.0,17.0,1.0,应急储备
槐琥,SPECIAL,executor,4,1550,651.0,353.0,0.0,0.93,0.0,7.0,1.0,红眉咏春拳谱
灰毫,TANK,fortress,4,3532,1139.0,591.0,0.0,2.8,0.0,25.0,3.0,出门必备套装
灰喉,SNIPER,fastshot,4,1673,644.0,152.0,0.0,1.0,14.0,11.0,1.0,母爱的倒影
火龙S黑角,WARRIOR,musha,4,4018,874.2,391.0,0.0,1.2,0.0,23.0,1.0,黑角的随身笔记
火哨,TANK,fortress,4,2983,1226.4,811.2,0.0,2.8,0.0,25.0,3.0,“成长的足迹”
火神,TANK,unyield,4,4723,870.0,653.0,10.0,1.6,0.0,33.0,3.0,锻椎者
见行者,SPECIAL,pusher,4,2527,713.0,416.0,0.0,1.2,0.0,19.0,2.0,可执行的幻想
贾维,PIONEER,pioneer,4,1824,769.9,441.1,0.0,1.05,0.0,11.0,2.0,自制千斤顶
嘉辛塔,PIONEER,bearer,4,1783,502.0,515.0,0.0,1.3,0.0,9.0,1.0,弹射起步
截云,SNIPER,aoesniper,4,1830,1182.0,115.0,0.0,2.8,0.0,27.0,1.0,小石头
极光,TANK,duelist,4,4407,1046.0,722.0,0.0,1.6,0.0,30.0,1.0,盾用摄制模块
极境,PIONEER,bearer,4,1819,533.0,473.0,0.0,1.3,28.0,9.0,1.0,应急通讯指南
惊蛰,CASTER,chain,4,1548,813.0,119.0,20.0,2.3,0.0,30.0,1.0,“天地通明”
九色鹿,SUPPORT,blessing,4,2035,528.0,204.0,25.0,1.6,0.0,11.0,1.0,“仙药”
吉星,SNIPER,reaperrange,4,2500,875.0,190.0,0.0,2.3,0.0,29.0,1.0,可疑的宣传页
矩,SNIPER,siegesniper,4,1880,1164.0,120.0,0.0,2.4,0.0,22.0,1.0,田间吓兽人
卡夫卡,SPECIAL,executor,4,2295,748.8,311.0,0.0,0.93,0.0,7.0,1.0,魔方挂坠
凯瑟琳,SUPPORT,craftsman,4,2880,620.0,490.0,0.0,1.5,0.0,17.0,2.0,闲暇时分
可颂,TANK,protector,4,4020,380.0,864.0,0.0,1.2,0.0,20.0,4.0,作战靴
空,SUPPORT,bard,4,1696,439.6,258.0,0.0,1.3,0.0,5.0,1.0,“齐唱”
空构,SPECIAL,geek,4,2093,771.0,176.0,10.0,1.3,0.0,10.0,1.0,无人机喷涂套装
苦艾,CASTER,corecaster,4,1570,753.0,124.0,20.0,1.6,0.0,19.0,1.0,“监护者”单兵通讯单元
莱恩哈特,CASTER,splashcaster,4,1792,1013.2,120.0,20.0,2.9,0.0,31.0,1.0,传承与开拓
莱欧斯,WARRIOR,fearless,4,4088,1062.0,321.0,0.0,1.5,0.0,16.0,1.0,想要带回迷宫的包裹
蓝毒,SNIPER,fastshot,4,1230,664.0,130.0,5.0,1.0,12.0,11.0,1.0,标准比色卡
拉普兰德,WARRIOR,lord,4,2525,825.0,365.0,15.0,1.3,6.0,17.0,2.0,“幼狼的牙齿”
雷狼龙S空爆,WARRIOR,mercenary,4,3290,585.5,497.0,10.0,1.25,0.0,8.0,2.0,狩猎之路
雷蛇,TANK,shotprotector,4,3240,522.0,825.0,13.0,1.2,0.0,20.0,3.0,震撼存储
烈夏,WARRIOR,lord,4,2490,805.0,425.0,10.0,1.3,47.0,17.0,2.0,旧衣服
裂响,TANK,primprotector,4,3545,657.0,669.0,10.0,1.6,0.0,23.0,3.0,“漂洗”
凛冬,PIONEER,pioneer,4,2410,470.0,481.0,0.0,1.05,0.0,10.0,2.0,冬将军的毕业礼物
临光,TANK,guardian,4,3080,562.0,650.0,10.0,1.2,0.0,19.0,3.0,改良骑士盾牌
聆音,WARRIOR,primguard,4,2600,1050.9,350.0,10.0,1.2,0.0,20.0,2.0,
凛视,SUPPORT,ritualist,4,1492,570.1,101.0,15.0,1.6,7.0,12.0,1.0,启行未来的灯
历阵锐枪芬,PIONEER,charger,4,2226,730.0,360.0,0.0,1.0,5.0,10.0,1.0,一往无前
龙舌兰,WARRIOR,librator,4,4247,377.0,526.0,15.0,1.2,0.0,10.0,3.0,“双重身份”
