char,skill,dmg_type,profession,rarity,dps@0,dps@150,dps@300,dps@650,dps@1100,dps@2000,dps@4000,dps@8000,peak_dps,peak_def
娜仁图亚,恶魇,physical,SNIPER,5,2025,1875,1725,1375,925,101,101,101,2025,0
娜仁图亚,吞日,physical,SNIPER,5,945,845,745,512,212,47,47,47,945,0
推进之王,碎颅击,physical,PIONEER,5,1079,1019,959,819,639,279,54,54,1079,0
风笛,迅捷打击·γ型,physical,PIONEER,5,997,860,724,406,50,50,50,50,997,0
风笛,高效冲击,physical,PIONEER,5,378,340,303,216,103,19,19,19,378,0
风笛,闭膛连发,physical,PIONEER,5,523,476,428,318,177,26,26,26,523,0
嵯峨,除恶,physical,PIONEER,5,283,268,252,216,170,77,14,14,283,0
嵯峨,怒目,physical,PIONEER,5,591,535,478,347,178,30,30,30,591,0
忍冬,隐狐之艺,physical,PIONEER,5,2054,1837,1620,1115,465,103,103,103,2054,0
琴柳,光辉旗帜,physical,PIONEER,5,85,79,72,57,37,4,4,4,85,0
焰尾,“红松林”,physical,PIONEER,5,163,148,133,98,53,8,8,8,163,0
焰尾,焰心,physical,PIONEER,5,288,254,221,143,43,14,14,14,288,0
郁金香,钻心,physical,PIONEER,5,206,187,168,124,68,10,10,10,206,0
郁金香,只余芬芳,physical,PIONEER,5,143,136,128,111,88,43,7,7,143,0
伺夜,领袖的尊严,arts,PIONEER,5,89,89,89,89,89,89,89,89,89,0
缪尔赛思,渐进性润化,physical,PIONEER,5,533,438,344,124,27,27,27,27,533,0
缪尔赛思,生态耦合,physical,PIONEER,5,26,22,17,6,1,1,1,1,26,0
缪尔赛思,浅层非熵适应,physical,PIONEER,5,26,22,17,6,1,1,1,1,26,0
可露希尔,模型扩展,physical,PIONEER,5,923,798,673,382,46,46,46,46,923,0
可露希尔,Q.E.D.,physical,PIONEER,5,2496,2252,2009,1442,712,125,125,125,2496,0
凛御银灰,御敌的锋锐,physical,PIONEER,5,310,291,273,229,173,60,16,16,310,0
凛御银灰,变革已至,physical,PIONEER,5,15,12,10,3,1,1,1,1,15,0
伊内丝,暗夜无明,physical,PIONEER,5,999,893,787,540,223,50,50,50,999,0
伊内丝,独影归途,physical,PIONEER,5,100,96,92,82,69,43,5,5,100,0
伊芙利特,狂热,arts,CASTER,5,303,303,303,303,303,303,303,303,303,0
伊芙利特,炎爆,arts,CASTER,5,326,326,326,326,326,326,326,326,326,0
伊芙利特,灼地,arts,CASTER,5,172,172,172,172,172,172,172,172,172,0
谬因,连续映射,arts,CASTER,5,86,86,86,86,86,86,86,86,86,0
谬因,临界瞬爆,arts,CASTER,5,342,342,342,342,342,342,342,342,342,0
谬因,混沌的本质,arts,CASTER,5,2599,2599,2599,2599,2599,2599,2599,2599,2599,0
莫斯提马,攻击力强化·γ型,arts,CASTER,5,399,399,399,399,399,399,399,399,399,0
莫斯提马,荒时之锁,arts,CASTER,5,85,85,85,85,85,85,85,85,85,0
莫斯提马,序时之匙,arts,CASTER,5,348,348,348,348,348,348,348,348,348,0
艾雅法拉,点燃,arts,CASTER,5,131,131,131,131,131,131,131,131,131,0
艾雅法拉,火山,arts,CASTER,5,1347,1347,1347,1347,1347,1347,1347,1347,1347,0
刻俄柏,“很冰的斧”,arts,CASTER,5,166,172,177,191,209,244,322,479,479,8000
刻俄柏,“很重的枪”,arts,CASTER,5,1036,1061,1086,1144,1218,1367,1699,2361,2361,8000
霍尔海雅,但为求索,arts,CASTER,5,275,275,275,275,275,275,275,275,275,0
霍尔海雅,群星逶迤,arts,CASTER,5,138,138,138,138,138,138,138,138,138,0
逻各斯,殁亡,arts,CASTER,5,33,33,33,33,33,33,33,33,33,0
逻各斯,提喻,arts,CASTER,5,199,199,199,199,199,199,199,199,199,0
逻各斯,延异视阈,arts,CASTER,5,1060,1060,1060,1060,1060,1060,1060,1060,1060,0
夕,工笔入化,arts,CASTER,5,453,453,453,453,453,453,453,453,453,0
夕,泼墨淋漓,arts,CASTER,5,608,608,608,608,608,608,608,608,608,0
夕,写意胜形,arts,CASTER,5,421,421,421,421,421,421,421,421,421,0
玛露西尔,才女的实力,arts,CASTER,5,46,46,46,46,46,46,46,46,46,0
玛露西尔,召唤使魔,arts,CASTER,5,30,30,30,30,30,30,30,30,30,0
玛露西尔,爆破魔法,arts,CASTER,5,104,104,104,104,104,104,104,104,104,0
Pith,“为我所为”,arts,CASTER,5,577,577,577,577,577,577,577,577,577,0
异客,聚焦指令,arts,CASTER,5,339,339,339,339,339,339,339,339,339,0
异客,辉煌裂片,arts,CASTER,5,33,33,33,33,33,33,33,33,33,0
卡涅利安,沙暴守卫,arts,CASTER,5,396,396,396,396,396,396,396,396,396,0
卡涅利安,沙缚镣锁,arts,CASTER,5,662,662,662,662,662,662,662,662,662,0
卡涅利安,食噬之印,arts,CASTER,5,141,141,141,141,141,141,141,141,141,0
林,玲珑,arts,CASTER,5,255,255,255,255,255,255,255,255,255,0
林,流光乍裂,arts,CASTER,5,717,717,717,717,717,717,717,717,717,0
圣聆初雪,霜涛覆岭,arts,CASTER,5,67,67,67,67,67,67,67,67,67,0
圣聆初雪,群山俯首,arts,CASTER,5,2373,2373,2373,2373,2373,2373,2373,2373,2373,0
澄闪,火花四溅,arts,CASTER,5,366,366,366,366,366,366,366,366,366,0
澄闪,电流翻涌,arts,CASTER,5,8,8,8,8,8,8,8,8,8,0
澄闪,澄净闪耀,arts,CASTER,5,314,314,314,314,314,314,314,314,314,0
荒芜拉普兰德,慵怠者悲鸣,arts,CASTER,5,78,78,78,78,78,78,78,78,78,0
荒芜拉普兰德,逐猎狂飙,arts,CASTER,5,431,431,431,431,431,431,431,431,431,0
荒芜拉普兰德,终幕·浩劫,arts,CASTER,5,576,576,576,576,576,576,576,576,576,0
黑键,渐快急板,arts,CASTER,5,90,90,90,90,90,90,90,90,90,0
黑键,荒芜回响,arts,CASTER,5,254,254,254,254,254,254,254,254,254,0
黑键,寂静之声,arts,CASTER,5,1168,1168,1168,1168,1168,1168,1168,1168,1168,0
妮芙,笞心击,arts,CASTER,5,755,755,755,755,755,755,755,755,755,0
妮芙,怵然震爆,arts,CASTER,5,906,906,906,906,906,906,906,906,906,0
妮芙,心防溃决,arts,CASTER,5,0,0,0,0,0,0,0,0,0,0
烛煌,炙手之援,arts,CASTER,5,59,59,59,59,59,59,59,59,59,0
烛煌,沸血燎原,arts,CASTER,5,272,272,272,272,272,272,272,272,272,0
烛煌,众恶的焚场,arts,CASTER,5,1649,1649,1649,1649,1649,1649,1649,1649,1649,0
真言,意识联协,arts,CASTER,5,2318,2318,2318,2318,2318,2318,2318,2318,2318,0
真言,无言为真,arts,CASTER,5,2384,2384,2384,2384,2384,2384,2384,2384,2384,0
死芒,噩愿,arts,CASTER,5,529,529,529,529,529,529,529,529,529,0
死芒,折朽,arts,CASTER,5,366,366,366,366,366,366,366,366,366,0
死芒,冠死以冕,arts,CASTER,5,428,428,428,428,428,428,428,428,428,0
灵知,高速思考,arts,SUPPORT,5,202,202,202,202,202,202,202,202,202,0
灵知,零度爆发,arts,SUPPORT,5,159,159,159,159,159,159,159,159,159,0
灵知,失温症,arts,SUPPORT,5,1836,1836,1836,1836,1836,1836,1836,1836,1836,0
安洁莉娜,秘杖·速充模式,arts,SUPPORT,5,622,622,622,622,622,622,622,622,622,0
安洁莉娜,秘杖·微粒模式,arts,SUPPORT,5,105,105,105,105,105,105,105,105,105,0
安洁莉娜,秘杖·反重力模式,arts,SUPPORT,5,477,477,477,477,477,477,477,477,477,0
铃兰,全力以赴,arts,SUPPORT,5,710,710,710,710,710,710,710,710,710,0
铃兰,儿时的舞乐,arts,SUPPORT,5,20,20,20,20,20,20,20,20,20,0
Raidian,双声,arts,SUPPORT,5,365,365,365,365,365,365,365,365,365,0
Raidian,信号跃动,arts,SUPPORT,5,549,549,549,549,549,549,549,549,549,0
溯光星源,星图闪烁,arts,SUPPORT,5,337,337,337,337,337,337,337,337,337,0
溯光星源,并流连锁,arts,SUPPORT,5,601,601,601,601,601,601,601,601,601,0
麦哲伦,武装打击模块,arts,SUPPORT,5,359,359,359,359,359,359,359,359,359,0
电弧,环形鳞地,arts,SUPPORT,5,392,392,392,392,392,392,392,392,392,0
电弧,手牵手,arts,SUPPORT,5,750,750,750,750,750,750,750,750,750,0
浊心斯卡蒂,同葬无光之愿,arts,SUPPORT,5,10,10,10,10,10,10,10,10,10,0
浊心斯卡蒂,"""潮涌，潮枯""",arts,SUPPORT,5,200,200,200,200,200,200,200,200,200,0
魔王,明日渺远不及,true,SUPPORT,5,658,658,658,658,658,658,658,658,658,0
淬羽赫默,进取之心,arts,SUPPORT,5,320,320,320,320,320,320,320,320,320,0
淬羽赫默,无畏者协议,arts,SUPPORT,5,325,325,325,325,325,325,325,325,325,0
遥,幽隙栖萤,arts,SUPPORT,5,245,245,245,245,245,245,245,245,245,0
遥,夏末游鳞,arts,SUPPORT,5,496,496,496,496,496,496,496,496,496,0
令,重进酒,arts,SUPPORT,5,453,453,453,453,453,453,453,453,453,0
令,笑鸣瑟,arts,SUPPORT,5,259,259,259,259,259,259,259,259,259,0
令,宁作吾,arts,SUPPORT,5,60,60,60,60,60,60,60,60,60,0
白铁,极致火力,physical,SUPPORT,5,422,375,329,220,80,21,21,21,422,0
白铁,高效补给,arts,SUPPORT,5,331,331,331,331,331,331,331,331,331,0
白铁,铁钳号·原型机,physical,SUPPORT,5,747,641,534,285,37,37,37,37,747,0
娜斯提,“拱卫”,arts,SUPPORT,5,471,471,471,471,471,471,471,471,471,0
娜斯提,栖脚地,arts,SUPPORT,5,591,591,591,591,591,591,591,591,591,0
塑心,“自由的探戈”,arts,SUPPORT,5,21,21,21,21,21,21,21,21,21,0
酒神,群体性谵妄,arts,SUPPORT,5,27,27,27,27,27,27,27,27,27,0
酒神,空剧场,arts,SUPPORT,5,415,415,415,415,415,415,415,415,415,0
缄默德克萨斯,细雨无声,arts,SPECIAL,5,924,924,924,924,924,924,924,924,924,0
缄默德克萨斯,阵雨连绵,arts,SPECIAL,5,1733,1733,1733,1733,1733,1733,1733,1733,1733,0
缄默德克萨斯,剑雨滂沱,arts,SPECIAL,5,454,454,454,454,454,454,454,454,454,0
弑君者,尘烟蔽目,physical,SPECIAL,5,66,59,52,36,16,3,3,3,66,0
弑君者,硝烟震爆,physical,SPECIAL,5,164,158,151,135,114,73,8,8,164,0
弑君者,烽烟行刑场,physical,SPECIAL,5,2793,2562,2330,1789,1093,140,140,140,2793,0
Misery,战争的恭顺,physical,SPECIAL,5,853,745,636,384,59,43,43,43,853,0
老鲤,小惩大诫,physical,SPECIAL,5,219,197,176,126,62,11,11,11,219,0
老鲤,贵客盈门,arts,SPECIAL,5,164,164,164,164,164,164,164,164,164,0
琳琅诗怀雅,千金一掷,physical,SPECIAL,5,307,277,247,177,87,15,15,15,307,0
温蒂,炮管敲击,physical,SPECIAL,5,286,256,226,156,66,14,14,14,286,0
温蒂,水炮模式,physical,SPECIAL,5,41,39,37,32,25,12,2,2,41,0
温蒂,液氮大炮,arts,SPECIAL,5,127,127,127,127,127,127,127,127,127,0
阿,爆发剂·榴莲味,physical,SPECIAL,5,1143,1005,867,545,131,57,57,57,1143,0
新约能天使,天空大扫除,physical,SPECIAL,5,1276,1193,1110,915,665,165,64,64,1276,0
新约能天使,开火成瘾症,physical,SPECIAL,5,3711,3509,3307,2836,2230,1019,186,186,3711,0
新约能天使,使命必达！,physical,SPECIAL,5,1062,978,895,701,451,53,53,53,1062,0
歌蕾蒂娅,缺水的大洋裂断,physical,SPECIAL,5,486,448,411,323,211,24,24,24,486,0
歌蕾蒂娅,缺水的掌握怒海,physical,SPECIAL,5,533,485,437,325,181,27,27,27,533,0
歌蕾蒂娅,缺水的碎漩狂舞,arts,SPECIAL,5,226,226,226,226,226,226,226,226,226,0
水月,唤醒,physical,SPECIAL,5,519,497,476,426,361,233,26,26,519,0
水月,囚徒困境,physical,SPECIAL,5,605,547,490,355,182,30,30,30,605,0
水月,镜花水月,physical,SPECIAL,5,403,383,363,317,257,137,20,20,403,0
阿斯卡纶,追袭,physical,SPECIAL,5,383,357,330,268,189,30,19,19,383,0
阿斯卡纶,恩赐,physical,SPECIAL,5,595,557,520,432,320,95,30,30,595,0
阿斯卡纶,降临,physical,SPECIAL,5,677,611,546,393,197,34,34,34,677,0
归溟幽灵鲨,生存的技巧,physical,SPECIAL,5,64,60,56,46,33,7,3,3,64,0
归溟幽灵鲨,生存的渴望,physical,SPECIAL,5,1725,1600,1475,1183,808,86,86,86,1725,0
归溟幽灵鲨,生存的重压,physical,SPECIAL,5,624,582,541,445,321,74,31,31,624,0
多萝西,危险目标清除,physical,SPECIAL,5,195,186,177,156,130,77,10,10,195,0
多萝西,流沙区域生成,physical,SPECIAL,5,142,133,123,100,71,13,7,7,142,0
多萝西,高速共振排障,arts,SPECIAL,5,172,172,172,172,172,172,172,172,172,0
艾拉,“博萨克风暴”,physical,SPECIAL,5,1966,1808,1650,1281,808,98,98,98,1966,0
望,取势,arts,SPECIAL,5,98,98,98,98,98,98,98,98,98,0
望,连星,arts,SPECIAL,5,451,451,451,451,451,451,451,451,451,0
望,天下劫,arts,SPECIAL,5,1528,1528,1528,1528,1528,1528,1528,1528,1528,0
引星棘刺,解构涌潮,arts,SPECIAL,5,163,163,163,163,163,163,163,163,163,0
引星棘刺,“我的海疆”,arts,SPECIAL,5,95,95,95,95,95,95,95,95,95,0
予愿安洁莉娜,极速送达,physical,SPECIAL,5,1269,1183,1097,897,640,126,63,63,1269,0
予愿安洁莉娜,重力自定义,arts,SPECIAL,5,2388,2388,2388,2388,2388,2388,2388,2388,2388,0
予愿安洁莉娜,酸橙的心事,physical,SPECIAL,5,2775,2686,2596,2388,2121,1586,396,139,2775,0
焰影苇草,枯荣共息,arts,MEDIC,5,530,530,530,530,530,530,530,530,530,0
缇缇,旧日绽放,arts,MEDIC,5,772,772,772,772,772,772,772,772,772,0
Mon3tr,策略：熔毁,true,MEDIC,5,2947,2947,2947,2947,2947,2947,2947,2947,2947,0
凯尔希·思衡托,保护性拒止,true,MEDIC,5,1365,1365,1365,1365,1365,1365,1365,1365,1365,0
星熊,战意,physical,TANK,5,529,454,379,204,26,26,26,26,529,0
星熊,力之锯,physical,TANK,5,806,740,673,518,318,40,40,40,806,0
Mechanist,应力倒置,arts,TANK,5,94,94,94,94,94,94,94,94,94,0
瑕光,光芒涌动,physical,TANK,5,422,385,348,260,148,21,21,21,422,0
瑕光,慑敌辉光,physical,TANK,5,136,122,106,72,26,7,7,7,136,0
瑕光,先贤化身,arts,TANK,5,910,910,910,910,910,910,910,910,910,0
黍,嘉禾盈仓,physical,TANK,5,523,468,413,285,120,26,26,26,523,0
黍,离离枯荣,physical,TANK,5,605,512,419,201,30,30,30,30,605,0
年,锡灼,physical,TANK,5,400,340,280,140,20,20,20,20,400,0
年,铜印,arts,TANK,5,10,10,10,10,10,10,10,10,10,0
泥岩,秽壤的血脉,physical,TANK,5,1334,1248,1162,961,702,184,67,67,1334,0
斥罪,坚心苦修,arts,TANK,5,37,37,37,37,37,37,37,37,37,0
斥罪,披荆斩棘,physical,TANK,5,2002,1942,1882,1742,1562,1202,402,100,2002,0
森蚺,震慑劈砍,physical,TANK,5,981,938,894,792,662,401,49,49,981,0
森蚺,钢铁意志,physical,TANK,5,1521,1464,1406,1273,1101,757,76,76,1521,0
号角,照明榴弹,physical,TANK,5,757,727,697,627,537,357,38,38,757,0
号角,暴风号令,physical,TANK,5,1083,1033,983,866,715,415,54,54,1083,0
号角,终极防线,physical,TANK,5,1959,1831,1703,1405,1021,253,98,98,1959,0
涤火杰西卡,坚守阵线,physical,TANK,5,283,245,208,120,14,14,14,14,283,0
涤火杰西卡,掩蔽护卫,physical,TANK,5,2909,2534,2159,1284,159,145,145,145,2909,0
涤火杰西卡,饱和迸射,physical,TANK,5,2964,2898,2833,2681,2485,2094,1224,148,2964,0
信仰搅拌机,八臂电锯侠,physical,TANK,5,212,194,177,137,85,11,11,11,212,0
信仰搅拌机,退休前布道,physical,TANK,5,1472,1378,1284,1064,782,218,74,74,1472,0
机械师,聚类分析,physical,TANK,5,2086,1786,1486,786,104,104,104,104,2086,0
机械师,协防术式,arts,TANK,5,875,875,875,875,875,875,875,875,875,0
机械师,工程学十字星,mixed,TANK,5,1463,1430,1397,1320,1221,1023,583,73,1463,0
余,厚礼上宾,arts,TANK,5,96,96,96,96,96,96,96,96,96,0
余,灶里乾坤,arts,TANK,5,699,699,699,699,699,699,699,699,699,0
珊比,“还不走？”,physical,TANK,5,472,412,352,212,32,24,24,24,472,0
珊比,“慢慢走~”,physical,TANK,5,276,214,152,14,14,14,14,14,276,0
珊比,“不准走！”,physical,TANK,5,517,394,270,26,26,26,26,26,517,0
斩业星熊,地狱变相,physical,TANK,5,1522,1447,1372,1197,972,522,76,76,1522,0
山,横扫架势,physical,WARRIOR,5,254,224,194,124,34,13,13,13,254,0
山,震地碎岩击,physical,WARRIOR,5,628,562,495,339,139,31,31,31,628,0
重岳,拂尘,physical,WARRIOR,5,3262,3112,2962,2612,2162,1262,163,163,3262,0
贝洛内,军师的手段,physical,WARRIOR,5,2483,2233,1983,1400,650,124,124,124,2483,0
贝洛内,清算,physical,WARRIOR,5,36,32,28,19,7,2,2,2,36,0
银灰,真银斩,physical,WARRIOR,5,1597,1520,1443,1264,1034,574,80,80,1597,0
棘刺,攻击力强化·γ型,physical,WARRIOR,5,870,790,710,524,284,44,44,44,870,0
棘刺,护身尖刺,physical,WARRIOR,5,760,672,585,381,120,38,38,38,760,0
棘刺,至高之术,physical,WARRIOR,5,1306,1156,1006,656,206,65,65,65,1306,0
仇白,承影,mixed,WARRIOR,5,1580,1460,1340,1060,700,79,79,79,1580,0
仇白,问雪,physical,WARRIOR,5,861,760,659,422,119,43,43,43,861,0
丰川祥子,残月的余响,arts,WARRIOR,5,1313,1313,1313,1313,1313,1313,1313,1313,1313,0
领主·Sharp,沉默的爆发,physical,WARRIOR,5,2612,2489,2365,2078,1708,968,131,131,2612,0
赫德雷,余烬重荷,physical,WARRIOR,5,508,478,448,378,288,108,25,25,508,0
赫德雷,死境硝烟,true,WARRIOR,5,1398,1398,1398,1398,1398,1398,1398,1398,1398,0
乌尔比安,必须促成的接触,physical,WARRIOR,5,1214,1177,1139,1052,939,714,214,61,1214,0
乌尔比安,必须维系的界限,physical,WARRIOR,5,67,65,63,58,51,38,10,3,67,0
乌尔比安,必须开辟的通路,physical,WARRIOR,5,345,340,335,324,309,279,212,79,345,0
佩佩,盖戳！,physical,WARRIOR,5,991,961,931,861,771,591,191,50,991,0
佩佩,阻遏混乱锤,physical,WARRIOR,5,2337,2229,2121,1869,1545,897,117,117,2337,0
佩佩,时光震荡,physical,WARRIOR,5,2324,2264,2204,2064,1884,1524,724,116,2324,0
怒潮凛冬,誓不低头,physical,WARRIOR,5,1491,1397,1303,1085,803,241,75,75,1491,0
怒潮凛冬,绝不罢休,physical,WARRIOR,5,806,766,726,632,512,272,40,40,806,0
怒潮凛冬,无可抵挡,physical,WARRIOR,5,545,524,502,452,388,260,27,27,545,0
煌,链锯延伸模块,physical,WARRIOR,5,26,24,22,17,10,1,1,1,26,0
煌,沸腾爆裂,physical,WARRIOR,5,656,596,536,396,216,33,33,33,656,0
百炼嘉维尔,精准痛击,physical,WARRIOR,5,904,829,754,579,354,45,45,45,904,0
百炼嘉维尔,链锯强袭,physical,WARRIOR,5,1856,1757,1658,1427,1130,536,93,93,1856,0
百炼嘉维尔,丛林之魂,physical,WARRIOR,5,2824,2649,2473,2063,1536,481,141,141,2824,0
史尔特尔,熔核巨影,physical,WARRIOR,5,1708,1621,1533,1329,1067,542,85,85,1708,0
史尔特尔,黄昏,physical,WARRIOR,5,2642,2531,2420,2162,1830,1165,132,132,2642,0
薇薇安娜,光影迅捷剑,physical,WARRIOR,5,403,366,328,240,128,20,20,20,403,0
薇薇安娜,烛燃影息,physical,WARRIOR,5,1053,960,867,649,369,53,53,53,1053,0
薇薇安娜,“明灭”,physical,WARRIOR,5,615,561,506,379,215,31,31,31,615,0
维娜·维多利亚,重铸晖光,physical,WARRIOR,5,310,280,250,180,90,15,15,15,310,0
维娜·维多利亚,进赴故土,physical,WARRIOR,5,34,32,30,25,19,6,2,2,34,0
维娜·维多利亚,俱以我之名,true,WARRIOR,5,1561,1561,1561,1561,1561,1561,1561,1561,1561,0
赤刃明霄陈,赤霄·奔夜,physical,WARRIOR,5,1179,1093,1008,808,551,59,59,59,1179,0
赤刃明霄陈,赤霄·绝影-驰,arts,WARRIOR,5,1637,1637,1637,1637,1637,1637,1637,1637,1637,0
赤刃明霄陈,赤霄·天喟,arts,WARRIOR,5,1050,1050,1050,1050,1050,1050,1050,1050,1050,0
赫拉格,弦月,physical,WARRIOR,5,722,656,591,439,243,36,36,36,722,0
赫拉格,满月,physical,WARRIOR,5,632,581,529,409,255,32,32,32,632,0
左乐,行险,physical,WARRIOR,5,129,121,114,95,71,24,6,6,129,0
左乐,佑序有炎,physical,WARRIOR,5,149,139,129,105,75,15,7,7,149,0
帕拉斯,信念的长鞭,physical,WARRIOR,5,849,762,676,475,216,42,42,42,849,0
帕拉斯,英勇的祝福,physical,WARRIOR,5,1020,927,834,616,336,51,51,51,1020,0
耀骑士临光,灿焰长刃,physical,WARRIOR,5,36,33,31,25,17,2,2,2,36,0
耀骑士临光,逐夜烁光,physical,WARRIOR,5,47,44,42,37,31,18,2,2,47,0
耀骑士临光,耀阳颔首,true,WARRIOR,5,1204,1204,1204,1204,1204,1204,1204,1204,1204,0
止颂,虔修对决,physical,WARRIOR,5,27,25,23,19,13,2,1,1,27,0
Sharp,快刀,physical,WARRIOR,5,1132,1059,985,814,594,154,57,57,1132,0
Sharp,亮剑,physical,WARRIOR,5,1318,1252,1186,1032,834,438,66,66,1318,0
Sharp,力战不竭,physical,WARRIOR,5,1017,947,877,714,504,84,51,51,1017,0
圣约送葬人,遗嘱执行,physical,WARRIOR,5,1240,1240,1240,1025,637,62,62,62,1240,0
圣约送葬人,近身铳斗,physical,WARRIOR,5,1488,1359,1230,928,541,74,74,74,1488,0
圣约送葬人,圣约决裁,physical,WARRIOR,5,4181,4087,3994,3776,3496,2936,1692,209,4181,0
隐德来希,绯红壁合,physical,WARRIOR,5,852,772,693,508,269,43,43,43,852,0
隐德来希,灵与欲的惜别,physical,WARRIOR,5,2146,1980,1814,1427,929,107,107,107,2146,0
玛恩纳,未声张的怒火,physical,WARRIOR,5,485,399,312,110,24,24,24,24,485,0
玛恩纳,未宽解的悲哀,physical,WARRIOR,5,319,259,199,59,16,16,16,16,319,0
玛恩纳,未照耀的荣光,physical,WARRIOR,5,363,291,219,51,18,18,18,18,363,0
司霆惊蛰,正霆摄威,physical,WARRIOR,5,341,262,183,17,17,17,17,17,341,0
司霆惊蛰,天地通明,mixed,WARRIOR,5,62,31,3,3,3,3,3,3,62,0
斯卡蒂,迅捷打击·γ型,physical,WARRIOR,5,1190,1100,1010,800,530,60,60,60,1190,0
斯卡蒂,跃浪击,physical,WARRIOR,5,53,51,48,43,37,24,3,3,53,0
斯卡蒂,涌潮悲歌,physical,WARRIOR,5,1483,1413,1342,1177,965,540,74,74,1483,0
瑰盐,绝妙的长效药呀,arts,MEDIC,4,81,81,81,81,81,81,81,81,81,0
凛冬,乌萨斯战吼,physical,PIONEER,4,271,217,163,37,14,14,14,14,271,0
德克萨斯,剑雨,arts,PIONEER,4,83,83,83,83,83,83,83,83,83,0
贾维,火焰剥离,arts,PIONEER,4,113,113,113,113,113,113,113,113,113,0
青枳,工程者之愿,physical,PIONEER,4,21,16,11,1,1,1,1,1,21,0
郁金香,只余芬芳,physical,PIONEER,4,97,91,84,70,51,14,5,5,97,0
红隼,醉刃乱舞,physical,PIONEER,4,554,454,354,121,28,28,28,28,554,0
苇草,迅捷打击·γ型,physical,PIONEER,4,1084,923,762,387,54,54,54,54,1084,0
苇草,生灵火花,arts,PIONEER,4,289,289,289,289,289,289,289,289,289,0
野鬃,夹枪冲锋,physical,PIONEER,4,867,762,657,412,97,43,43,43,867,0
历阵锐枪芬,贯敌刺枪,physical,PIONEER,4,254,224,194,124,34,13,13,13,254,0
历阵锐枪芬,执守阵线,physical,PIONEER,4,465,420,375,270,135,23,23,23,465,0
渡桥,承压功率,physical,PIONEER,4,459,395,330,180,23,23,23,23,459,0
晓歌,观火,physical,PIONEER,4,966,868,769,539,243,48,48,48,966,0
