value,winner,skill,dps
3350,谬因,混沌的本质,3249.0
3400,谬因,混沌的本质,3249.0
3450,谬因,混沌的本质,3249.0
3500,谬因,混沌的本质,3249.0
3550,谬因,混沌的本质,3249.0
3600,谬因,混沌的本质,3249.0
3650,谬因,混沌的本质,3249.0
3700,谬因,混沌的本质,3249.0
3750,谬因,混沌的本质,3249.0
3800,谬因,混沌的本质,3249.0
3850,谬因,混沌的本质,3249.0
3900,谬因,混沌的本质,3249.0
3950,谬因,混沌的本质,3249.0
4000,谬因,混沌的本质,3249.0
4050,谬因,混沌的本质,3249.0
4100,谬因,混沌的本质,3249.0
4150,谬因,混沌的本质,3249.0
4200,谬因,混沌的本质,3249.0
4250,谬因,混沌的本质,3249.0
4300,谬因,混沌的本质,3249.0
4350,谬因,混沌的本质,3249.0
4400,谬因,混沌的本质,3249.0
4450,谬因,混沌的本质,3249.0
4500,谬因,混沌的本质,3249.0
4550,谬因,混沌的本质,3249.0
4600,谬因,混沌的本质,3249.0
4650,谬因,混沌的本质,3249.0
4700,谬因,混沌的本质,3249.0
4750,谬因,混沌的本质,3249.0
4800,谬因,混沌的本质,3249.0
4850,谬因,混沌的本质,3249.0
4900,谬因,混沌的本质,3249.0
4950,谬因,混沌的本质,3249.0
5000,谬因,混沌的本质,3249.0
5050,谬因,混沌的本质,3249.0
5100,谬因,混沌的本质,3249.0
5150,谬因,混沌的本质,3249.0
5200,谬因,混沌的本质,3249.0
5250,谬因,混沌的本质,3249.0
5300,谬因,混沌的本质,3249.0
5350,谬因,混沌的本质,3249.0
5400,谬因,混沌的本质,3249.0
5450,谬因,混沌的本质,3249.0
5500,谬因,混沌的本质,3249.0
5550,谬因,混沌的本质,3249.0
5600,谬因,混沌的本质,3249.0
5650,谬因,混沌的本质,3249.0
5700,谬因,混沌的本质,3249.0
5750,谬因,混沌的本质,3249.0
5800,谬因,混沌的本质,3249.0
5850,谬因,混沌的本质,3249.0
5900,谬因,混沌的本质,3249.0
5950,谬因,混沌的本质,3249.0
6000,谬因,混沌的本质,3249.0
6050,谬因,混沌的本质,3249.0
6100,谬因,混沌的本质,3249.0
6150,谬因,混沌的本质,3249.0
6200,谬因,混沌的本质,3249.0
6250,谬因,混沌的本质,3249.0
6300,谬因,混沌的本质,3249.0
6350,谬因,混沌的本质,3249.0
6400,谬因,混沌的本质,3249.0
6450,谬因,混沌的本质,3249.0
6500,谬因,混沌的本质,3249.0
6550,谬因,混沌的本质,3249.0
6600,谬因,混沌的本质,3249.0
6650,谬因,混沌的本质,3249.0
6700,谬因,混沌的本质,3249.0
6750,谬因,混沌的本质,3249.0
6800,谬因,混沌的本质,3249.0
6850,谬因,混沌的本质,3249.0
6900,谬因,混沌的本质,3249.0
6950,谬因,混沌的本质,3249.0
7000,谬因,混沌的本质,3249.0
7050,谬因,混沌的本质,3249.0
7100,谬因,混沌的本质,3249.0
7150,谬因,混沌的本质,3249.0
7200,谬因,混沌的本质,3249.0
7250,谬因,混沌的本质,3249.0
7300,谬因,混沌的本质,3249.0
7350,谬因,混沌的本质,3249.0
7400,谬因,混沌的本质,3249.0
7450,谬因,混沌的本质,3249.0
7500,谬因,混沌的本质,3249.0
7550,谬因,混沌的本质,3249.0
7600,谬因,混沌的本质,3249.0
7650,谬因,混沌的本质,3249.0
7700,谬因,混沌的本质,3249.0
7750,谬因,混沌的本质,3249.0
7800,谬因,混沌的本质,3249.0
7850,谬因,混沌的本质,3249.0
7900,谬因,混沌的本质,3249.0
7950,谬因,混沌的本质,3249.0
8000,谬因,混沌的本质,3249.0
