char,profession,rarity,skill,skill_type,score,cycle,burst,survival,support,tier
煌,WARRIOR,5,强力击·γ型,2,0.075,0,2341,180,0,C
艾丽妮,WARRIOR,5,裂潮,1,0.074,0,2824,175,0,C
莫斯提马,CASTER,5,序时之匙,1,0.074,348,19848,110,0,C
维娜·维多利亚,WARRIOR,5,进赴故土,2,0.074,30,2110,180,0,C
迷迭香,SNIPER,5,“如你所愿”,1,0.073,424,23330,110,0,C
老鲤,SPECIAL,5,贵客盈门,2,0.072,164,1148,160,3,C
蕾缪安,SNIPER,5,重逢问候,2,0.072,0,19327,80,0,C
重岳,WARRIOR,5,拂尘,1,0.071,2962,2962,155,0,C
娜斯提,SUPPORT,5,栖脚地,1,0.07,59,1360,180,0,C
妮芙,CASTER,5,笞心击,1,0.07,943,19986,100,0,C
琳琅诗怀雅,SPECIAL,5,“见面礼”,0,0.066,0,1743,160,2,C
安洁莉娜,SUPPORT,5,秘杖·速充模式,2,0.059,0,21769,80,0,C
伊内丝,PIONEER,5,独影归途,0,0.059,0,3204,150,0,C
异客,CASTER,5,聚焦指令,1,0.058,339,18651,90,0,C
淬羽赫默,SUPPORT,5,进取之心,1,0.056,21,852,160,0,C
嵯峨,PIONEER,5,除恶,1,0.053,252,7320,120,0,C
令,SUPPORT,5,重进酒,1,0.052,1586,15862,90,0,C
电弧,SUPPORT,5,环形鳞地,1,0.05,1481,13329,90,1,C
酒神,SUPPORT,5,空剧场,1,0.049,437,15444,90,0,C
澄闪,CASTER,5,澄净闪耀,1,0.048,314,15068,90,0,C
凯尔希·思衡托,MEDIC,5,应急肃正防线,1,0.047,0,0,150,0,C
死芒,CASTER,5,冠死以冕,1,0.047,428,4704,130,0,C
伊芙利特,CASTER,5,狂热,1,0.047,303,12119,100,0,C
霍尔海雅,CASTER,5,但为求索,2,0.046,275,5781,125,0,C
温蒂,SPECIAL,5,水炮模式,2,0.042,36,2558,130,0,C
Stormeye,SNIPER,5,旋臂,1,0.039,350,21000,80,0,C
林,CASTER,5,流光乍裂,1,0.036,48,2390,120,0,C
麦哲伦,SUPPORT,5,武装打击模块,1,0.036,40,1118,130,0,C
缪尔赛思,PIONEER,5,渐进性润化,1,0.035,344,12045,100,0,C
玛露西尔,CASTER,5,爆破魔法,1,0.031,104,4140,110,0,C
焰尾,PIONEER,5,“红松林”,1,0.03,133,1334,120,0,C
灰烬,SNIPER,5,攻坚榴弹,1,0.029,68,1692,100,2,C
焰狐龙梓兰,SNIPER,5,飞翔瞪射,1,0.029,489,3523,100,0,C
Mon3tr,MEDIC,5,策略：超压链接,2,0.027,0,0,120,0,C
魔王,SUPPORT,5,明日渺远不及,1,0.027,0,0,120,0,C
琴柳,PIONEER,5,光辉旗帜,1,0.025,72,1662,110,0,C
W,SNIPER,5,红桃K,1,0.021,224,3587,90,0,C
流明,MEDIC,5,沛霖,1,0.02,0,0,110,0,C
麒麟R夜刀,SPECIAL,5,空中回旋乱舞,0,0.02,0,2089,100,0,C
郁金香,PIONEER,5,只余芬芳,1,0.018,128,1280,100,0,C
塑心,SUPPORT,5,“黄金的狂喜”,2,0.017,0,1356,100,0,C
伺夜,PIONEER,5,领袖的尊严,1,0.014,6,236,100,0,C
傀影,SPECIAL,5,夜幕突袭,0,0.013,0,2085,90,0,C
Misery,SPECIAL,5,空间的归依,0,0.013,0,1914,90,0,C
夜莺,MEDIC,5,治疗强化·γ型,1,0.013,0,0,100,0,C
多萝西,SPECIAL,5,危险目标清除,2,0.012,251,3009,80,0,C
引星棘刺,SPECIAL,5,“我的海疆”,1,0.01,95,1141,90,0,C
纯烬艾雅法拉,MEDIC,5,无声润物,2,0.007,0,0,90,0,C
闪灵,MEDIC,5,信条,1,0.007,0,0,90,0,C
Touch,MEDIC,5,慨赠,1,0.0,0,0,80,0,C
