char,profession,sub_profession,rarity,effects,合约Boss战_dmg,合约Boss战_time,合约Boss战_surv,日常挂机_dmg,日常挂机_time,日常挂机_surv,高压群怪_dmg,高压群怪_time,高压群怪_surv,合约Boss战_score,日常挂机_score,高压群怪_score
圣聆初雪,CASTER,phalanx,5,减速10%(覆盖100%); 减速10%(覆盖100%); 减速10%(覆盖100%); 减速10%(覆盖100%); 减速12%(覆盖100%); 减速12%(覆盖100%); 冻结4s(覆盖100%),0.0,1159.1,0.0,0.0,6022.7,0.0,0.0,6852.3,0.0,0.0644,0.1314,0.137
澄闪,CASTER,funnel,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
荒芜拉普兰德,CASTER,funnel,5,,0.0,3000.0,0.0,0.0,7500.0,0.0,0.0,6250.0,0.0,0.1667,0.1636,0.125
黑键,CASTER,mystic,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
维伊,CASTER,mystic,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
妮芙,CASTER,primcaster,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
烛煌,CASTER,primcaster,5,晕眩5s(覆盖100%); 减速50%,0.0,3937.5,0.0,0.0,13750.0,0.0,0.0,13750.0,0.0,0.2188,0.3,0.275
真言,CASTER,primcaster,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
死芒,CASTER,soulcaster,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
灵知,SUPPORT,underminer,5,脆弱+15%(覆盖100%); 脆弱+17%(覆盖100%); 脆弱+25%(覆盖100%); 脆弱+27%(覆盖100%),27000.0,0.0,0.0,5400.0,0.0,0.0,13500.0,0.0,0.0,0.0573,0.25,0.1457
安洁莉娜,SUPPORT,slower,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
铃兰,SUPPORT,slower,5,友方技力回复+0.2/秒(覆盖100%); 友方技力回复+0.4/秒(覆盖100%); 脆弱+20%(覆盖100%); 脆弱+23%(覆盖100%),37285.7,0.0,0.0,7457.1,0.0,0.0,18642.9,0.0,0.0,0.0791,0.3452,0.2012
Raidian,SUPPORT,slower,5,脆弱+25%(覆盖80%),20000.0,0.0,0.0,4000.0,0.0,0.0,10000.0,0.0,0.0,0.0424,0.1852,0.1079
溯光星源,SUPPORT,slower,5,脆弱+10%(覆盖100%); 脆弱+12%(覆盖100%),12000.0,0.0,0.0,2400.0,0.0,0.0,6000.0,0.0,0.0,0.0255,0.1111,0.0647
麦哲伦,SUPPORT,summoner,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
电弧,SUPPORT,summoner,5,停顿2s(覆盖75%) | 护盾100%最大生命,0.0,281.2,1533.3,0.0,1875.0,1533.3,0.0,2250.0,1533.3,0.0192,0.0483,0.0503
浊心斯卡蒂,SUPPORT,bard,5,"鼓舞(施法者攻击力+60%,覆盖100%); 鼓舞(施法者攻击力+110%,覆盖50%)",18120.0,0.0,0.0,3624.0,0.0,0.0,9060.0,0.0,0.0,0.0384,0.1678,0.0978
魔王,SUPPORT,bard,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
淬羽赫默,SUPPORT,blessing,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
遥,SUPPORT,blessing,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
令,SUPPORT,summoner,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
白铁,SUPPORT,craftsman,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
娜斯提,SUPPORT,craftsman,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
塑心,SUPPORT,ritualist,5,停顿0.2s(覆盖100%),0.0,37.5,0.0,0.0,250.0,0.0,0.0,300.0,0.0,0.0021,0.0055,0.006
酒神,SUPPORT,ritualist,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
傀影,SPECIAL,executor,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
缄默德克萨斯,SPECIAL,executor,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
麒麟R夜刀,SPECIAL,executor,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
弑君者,SPECIAL,executor,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Misery,SPECIAL,executor,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
老鲤,SPECIAL,merchant,5,晕眩3s(覆盖100%); 冻结3s(覆盖100%),0.0,1125.0,0.0,0.0,7500.0,0.0,0.0,9000.0,0.0,0.0625,0.1636,0.18
琳琅诗怀雅,SPECIAL,merchant,5,停顿3s(覆盖4%),0.0,22.5,0.0,0.0,150.0,0.0,0.0,180.0,0.0,0.0013,0.0033,0.0036
温蒂,SPECIAL,pusher,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阿,SPECIAL,geek,5,晕眩0.6s(覆盖100%); 停顿1s(覆盖100%); 晕眩0.8s(覆盖100%); 停顿1.2s(覆盖100%); 晕眩1s(覆盖100%); 停顿1.4s(覆盖100%),0.0,450.0,0.0,0.0,3000.0,0.0,0.0,3600.0,0.0,0.025,0.0655,0.072
新约能天使,SPECIAL,geek,5,护盾250%最大生命,0.0,0.0,6400.0,0.0,0.0,6400.0,0.0,0.0,6400.0,0.0148,0.0308,0.0222
歌蕾蒂娅,SPECIAL,hookmaster,5,减速50%,0.0,3000.0,0.0,0.0,7500.0,0.0,0.0,6250.0,0.0,0.1667,0.1636,0.125
水月,SPECIAL,stalker,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阿斯卡纶,SPECIAL,stalker,5,减速60%,0.0,4500.0,0.0,0.0,11250.0,0.0,0.0,9375.0,0.0,0.25,0.2455,0.1875
归溟幽灵鲨,SPECIAL,dollkeeper,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
多萝西,SPECIAL,traper,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
艾拉,SPECIAL,traper,5,脆弱+35%(覆盖53%),18421.1,0.0,0.0,3684.2,0.0,0.0,9210.5,0.0,0.0,0.0391,0.1706,0.0994
望,SPECIAL,traper,5,减速50%(覆盖100%),0.0,3000.0,0.0,0.0,7500.0,0.0,0.0,6250.0,0.0,0.1667,0.1636,0.125
引星棘刺,SPECIAL,alchemist,5,敌方减攻15%; 敌方减防35% | 治疗340/次,77000.0,0.0,16327.5,962.5,0.0,3198.6,12000.0,0.0,7163.8,0.2011,0.06,0.1543
予愿安洁莉娜,SPECIAL,skywalker,5,减速60%,0.0,4500.0,0.0,0.0,11250.0,0.0,0.0,9375.0,0.0,0.25,0.2455,0.1875
闪灵,MEDIC,physician,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Touch,MEDIC,physician,5,治疗968/次,0.0,0.0,32250.0,0.0,0.0,7740.0,0.0,0.0,16125.0,0.0746,0.0373,0.0559
夜莺,MEDIC,ringhealer,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
凯尔希,MEDIC,physician,5,晕眩3s(覆盖100%),0.0,562.5,0.0,0.0,3750.0,0.0,0.0,4500.0,0.0,0.0312,0.0818,0.09
流明,MEDIC,healer,5,治疗1260/次,0.0,0.0,42000.0,0.0,0.0,10080.0,0.0,0.0,21000.0,0.0971,0.0486,0.0728
纯烬艾雅法拉,MEDIC,wandermedic,5,治疗317/秒,0.0,0.0,10580.0,0.0,0.0,2539.2,0.0,0.0,5290.0,0.0245,0.0122,0.0183
焰影苇草,MEDIC,incantationmedic,5,脆弱+10%(覆盖100%); 脆弱+2%(覆盖100%); 脆弱+20%(覆盖100%); 脆弱+2%(覆盖100%),20000.0,0.0,0.0,4000.0,0.0,0.0,10000.0,0.0,0.0,0.0424,0.1852,0.1079
缇缇,MEDIC,incantationmedic,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mon3tr,MEDIC,chainhealer,5,治疗1558/次; 治疗389/秒,0.0,0.0,51916.7,0.0,0.0,12460.0,0.0,0.0,25958.3,0.12,0.06,0.09
凯尔希·思衡托,MEDIC,watchman,5,治疗1020/秒,0.0,0.0,34000.0,0.0,0.0,8160.0,0.0,0.0,17000.0,0.0786,0.0393,0.059
星熊,TANK,protector,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mechanist,TANK,protector,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
塞雷娅,TANK,guardian,5,法术脆弱+55%(覆盖100%) | 治疗889/次; 治疗222/秒,24750.0,4500.0,29645.0,4950.0,11250.0,7114.8,11000.0,9375.0,14822.5,0.371,0.5089,0.3576
瑕光,TANK,guardian,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
黍,TANK,guardian,5,友方攻击+25%(覆盖67%),16666.7,0.0,0.0,3333.3,0.0,0.0,8333.3,0.0,0.0,0.0354,0.1543,0.0899
年,TANK,protector,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
泥岩,TANK,unyield,5,减速60%,0.0,4500.0,0.0,0.0,11250.0,0.0,0.0,9375.0,0.0,0.25,0.2455,0.1875
斥罪,TANK,unyield,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
森蚺,TANK,duelist,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
号角,TANK,fortress,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
涤火杰西卡,TANK,shotprotector,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
信仰搅拌机,TANK,shotprotector,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
机械师,TANK,shotprotector,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
余,TANK,primprotector,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
珊比,TANK,primprotector,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
斩业星熊,TANK,artsprotector,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山,WARRIOR,fighter,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
重岳,WARRIOR,fighter,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
贝洛内,WARRIOR,fighter,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
银灰,WARRIOR,lord,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
棘刺,WARRIOR,lord,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
仇白,WARRIOR,lord,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
丰川祥子,WARRIOR,lord,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
领主·Sharp,WARRIOR,lord,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
赫德雷,WARRIOR,crusher,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
乌尔比安,WARRIOR,crusher,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
佩佩,WARRIOR,hammer,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
怒潮凛冬,WARRIOR,hammer,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
陈,WARRIOR,sword,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
艾丽妮,WARRIOR,sword,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
锏,WARRIOR,sword,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
煌,WARRIOR,centurion,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
百炼嘉维尔,WARRIOR,centurion,5,治疗402/次,0.0,0.0,13394.3,0.0,0.0,3214.6,0.0,0.0,6697.1,0.031,0.0155,0.0232
史尔特尔,WARRIOR,artsfghter,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
薇薇安娜,WARRIOR,artsfghter,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
维娜·维多利亚,WARRIOR,artsfghter,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
赤刃明霄陈,WARRIOR,artsfghter,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
赫拉格,WARRIOR,musha,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
左乐,WARRIOR,musha,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
帕拉斯,WARRIOR,instructor,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
耀骑士临光,WARRIOR,fearless,5,晕眩2s(覆盖100%); 晕眩3s(覆盖100%),0.0,562.5,0.0,0.0,3750.0,0.0,0.0,4500.0,0.0,0.0312,0.0818,0.09
止颂,WARRIOR,fearless,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sharp,WARRIOR,fearless,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
圣约送葬人,WARRIOR,reaper,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
隐德来希,WARRIOR,reaper,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
玛恩纳,WARRIOR,librator,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
司霆惊蛰,WARRIOR,librator,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
斯卡蒂,WARRIOR,fearless,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
白面鸮,MEDIC,ringhealer,4,友方技力回复+0.15/秒(覆盖100%); 友方技力回复+0.3/秒(覆盖100%),11538.5,0.0,0.0,2307.7,0.0,0.0,5769.2,0.0,0.0,0.0245,0.1068,0.0622
微风,MEDIC,ringhealer,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
瑰盐,MEDIC,ringhealer,4,治疗773/次,0.0,0.0,25773.5,0.0,0.0,6185.6,0.0,0.0,12886.8,0.0596,0.0298,0.0447
凛冬,PIONEER,pioneer,4,回费1点,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0002,0.0046,0.0011
德克萨斯,PIONEER,pioneer,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
贾维,PIONEER,pioneer,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青枳,PIONEER,pioneer,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
郁金香,PIONEER,pioneer,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
红隼,PIONEER,pioneer,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松桐,PIONEER,counsellor,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
苇草,PIONEER,charger,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
野鬃,PIONEER,charger,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
历阵锐枪芬,PIONEER,charger,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
极境,PIONEER,bearer,4,减速60%; 敌方减防35%,77000.0,4500.0,0.0,962.5,11250.0,0.0,12000.0,9375.0,0.0,0.4133,0.29,0.317
万顷,PIONEER,bearer,4,治疗128/秒,0.0,0.0,4283.3,0.0,0.0,1028.0,0.0,0.0,2141.7,0.0099,0.005,0.0074
嘉辛塔,PIONEER,bearer,4,治疗126/秒,0.0,0.0,4183.3,0.0,0.0,1004.0,0.0,0.0,2091.7,0.0097,0.0048,0.0073
夜半,PIONEER,tactician,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
渡桥,PIONEER,tactician,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
晓歌,PIONEER,agent,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
谜图,PIONEER,agent,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
齐尔查克,PIONEER,agent,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
寻澜,PIONEER,agent,4,回费1点; 回费2点,200.0,0.0,0.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0004,0.0093,0.0022
诗怀雅,WARRIOR,instructor,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鞭刃,WARRIOR,instructor,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
苍苔,WARRIOR,instructor,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
医生,WARRIOR,instructor,4,治疗2768/次; 治疗5190/次,0.0,0.0,173000.0,0.0,0.0,41520.0,0.0,0.0,86500.0,0.4,0.2,0.3
芙兰卡,WARRIOR,fearless,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
炎客,WARRIOR,fearless,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
摩根,WARRIOR,fearless,4,护盾70%最大生命,0.0,0.0,2912.0,0.0,0.0,2912.0,0.0,0.0,2912.0,0.0067,0.014,0.0101
Sharp,WARRIOR,fearless,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
莱欧斯,WARRIOR,fearless,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
因陀罗,WARRIOR,fighter,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
燧石,WARRIOR,fighter,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
达格达,WARRIOR,fighter,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
拉普兰德,WARRIOR,lord,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
断崖,WARRIOR,lord,4,停顿1s(覆盖100%),0.0,187.5,0.0,0.0,1250.0,0.0,0.0,1500.0,0.0,0.0104,0.0273,0.03
烈夏,WARRIOR,lord,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
铎铃,WARRIOR,crusher,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
