char_name,profession,sub_profession,rarity,skill_index,skill_name,damage_type,scenario,target_def,target_res,atk_final,atk_base,trust_atk,pot_atk,mod_atk,tal_atk_pct,mult,hit_times,max_target,duration,interval,attack_count,per_hit_raw,per_hit_eff,burst_raw,burst_eff,dps_eff,cycle_dps_eff,cycle_dps_avg_eff,heal_total,heal_dps,heal_cycle_dps,chain_times,aoe_total_raw,elemental_total,element_type,elemental_dps,time_to_burst,time_to_burst_boss,burst_trigger_dps,burst_extra_dps,burst_dps,sp_type,sp_cost,init_sp,module_used
嵯峨,PIONEER,pioneer,5,2,怒目,physical,base,0,0,685.0,530.0,85.0,0.0,70.0,0.0,2.3,1,1,20.0,1.55,13,1575.5,1575.5,20481,20481,1024.1,640.0,896.9,,,,,,,,,,,,,,1,40,28,何处寻驮？
电弧,SUPPORT,summoner,5,1,环形鳞地,arts,base,0,0,617.1,466.0,20.0,0.0,65.0,0.12,1.8,1,1,25.0,1.6,16,1110.8,1110.8,17773,17773,710.9,522.7,631.6,,,,,,,,,,,,,,1,25,16,新起点
电弧,SUPPORT,summoner,5,2,手牵手,arts,base,0,0,617.1,466.0,20.0,0.0,65.0,0.12,3.375,1,1,30.0,1.6,19,2082.8,2082.8,39572,39572,1319.1,989.3,1097.3,,,,,,,,,,,,,,1,40,30,新起点
涤火杰西卡,TANK,shotprotector,5,0,坚守阵线,physical,base,0,0,665.0,522.0,60.0,0.0,83.0,0.0,1.7,1,1,30.0,1.2,25,1130.5,1130.5,28262,28262,942.1,282.6,675.0,,,,,,,,,,,,,,1,70,0,未曾风化
涤火杰西卡,TANK,shotprotector,5,1,掩蔽护卫,physical,base,0,0,665.0,522.0,60.0,0.0,83.0,0.0,1.75,1,1,15.0,0.29999999999999993,51,1163.8,1163.8,59351,59351,3956.8,2967.6,3133.8,,,,,,,,,,,,,,1,30,25,未曾风化
涤火杰西卡,TANK,shotprotector,5,2,饱和迸射,physical,base,0,0,665.0,522.0,60.0,0.0,83.0,0.0,10.25,1,1,36.0,1.7999999999999998,20,6816.2,6816.2,136325,136325,3786.8,2963.6,3093.7,,,,,,,,,,,,,,1,40,30,未曾风化
多萝西,SPECIAL,traper,5,0,危险目标清除,physical,base,0,0,735.4,581.0,80.0,0.0,60.0,0.02,4.5,1,1,5.0,,1,3309.4,3309.4,3309,3309,661.9,194.7,843.6,,,,,,,,,,,,,,1,12,0,梦中人
多萝西,SPECIAL,traper,5,1,流沙区域生成,physical,base,0,0,735.4,581.0,80.0,0.0,60.0,0.02,3.0,1,1,3.5,,1,2206.3,2206.3,2206,2206,630.4,142.3,854.0,,,,,,,,,,,,,,1,12,0,梦中人
多萝西,SPECIAL,traper,5,2,高速共振排障,arts,base,0,0,735.4,581.0,80.0,0.0,60.0,0.02,3.5,1,1,,,1,2574.0,2574.0,2573,2573,,214.5,1133.8,,,,,,,,,,,,,,1,12,0,梦中人
菲亚梅塔,SNIPER,aoesniper,5,0,“你须直面”,physical,base,0,0,1051.0,861.0,100.0,0.0,90.0,0.0,2.0,1,1,30.0,1.78343949044586,17,2102.0,2102.0,35734,35734,1191.1,,,,,,,,,,,,,,,,2,10,5,菲亚梅塔特限证章
菲亚梅塔,SNIPER,aoesniper,5,1,“你须愧悔”,physical,base,0,0,1051.0,861.0,100.0,0.0,90.0,0.0,4.0,1,1,,,1,4204.0,4204.0,4204,4204,,,,,,,,,,,,,,,,,2,7,0,菲亚梅塔特限证章
菲亚梅塔,SNIPER,aoesniper,5,2,“你须偿还”,physical,base,0,0,1051.0,861.0,100.0,0.0,90.0,0.0,2.2,1,1,,,1,2312.2,2312.2,2312,2312,,,,,,,,,,,,,,,,,2,15,0,菲亚梅塔特限证章
丰川祥子,WARRIOR,lord,5,0,新月的苏醒,arts,base,0,0,848.0,725.0,60.0,0.0,63.0,0.0,1.0,1,1,,,1,848.0,848.0,848,848,,,,,,,,,,,,,,,,,2,3,0,无言的约定
丰川祥子,WARRIOR,lord,5,2,残月的余响,arts,base,0,0,848.0,725.0,60.0,0.0,63.0,0.0,2.2,1,1,25.0,1.0924369747899159,23,1865.6,1865.6,42908,42908,1716.4,,,,,,,,,,,,,,,,2,42,34,无言的约定
风笛,PIONEER,charger,5,0,迅捷打击·γ型,physical,base,0,0,756.0,586.0,85.0,0.0,85.0,0.0,1.45,1,1,35.0,0.6896551724137931,51,1096.2,1096.2,55906,55906,1597.3,1016.5,1415.1,,,,,,,,,,,,,,1,35,15,“棍棒与口袋”
风笛,PIONEER,charger,5,1,高效冲击,physical,base,0,0,756.0,586.0,85.0,0.0,85.0,0.0,2.0,1,1,,,3,1512.0,1512.0,4536,4536,,378.0,1134.0,,,,,,,,,,,,,,1,4,0,“棍棒与口袋”
风笛,PIONEER,charger,5,2,闭膛连发,physical,base,0,0,756.0,586.0,85.0,0.0,85.0,0.0,2.2,1,1,20.0,1.7,12,1663.2,1663.2,19958,19958,997.9,570.2,894.2,,,,,,,,,,,,,,1,40,25,“棍棒与口袋”
歌蕾蒂娅,SPECIAL,hookmaster,5,0,缺水的大洋裂断,physical,base,0,0,925.0,801.0,50.0,0.0,74.0,0.0,2.1,1,1,,,3,1942.5,1942.5,5827,5827,,485.6,1025.2,,,,,,,,,,,,,,1,4,0,淡金坠饰
歌蕾蒂娅,SPECIAL,hookmaster,5,1,缺水的掌握怒海,physical,base,0,0,925.0,801.0,50.0,0.0,74.0,0.0,1.8,1,2.0,20.0,2.3,9,1665.0,1665.0,14985,14985,749.2,599.4,710.4,,,,,29970,,,,,,,,,1,25,20,淡金坠饰
歌蕾蒂娅,SPECIAL,hookmaster,5,2,缺水的碎漩狂舞,arts,base,0,0,925.0,801.0,50.0,0.0,74.0,0.0,1.3,1,1,8.0,1.8,5,1202.5,1202.5,6012,6012,751.6,353.7,625.7,,,,,,,,,,,,,,1,35,26,淡金坠饰
归溟幽灵鲨,SPECIAL,dollkeeper,5,0,生存的技巧,physical,base,0,0,900.0,737.0,80.0,0.0,83.0,0.0,2.5,1,1,25.0,,1,2250.0,2250.0,2250,2250,90.0,64.3,295.7,,,,,,,,,,,,,,1,35,25,“唱片”收藏箱
归溟幽灵鲨,SPECIAL,dollkeeper,5,1,生存的渴望,physical,base,0,0,900.0,737.0,80.0,0.0,83.0,0.0,2.3,1,1,20.0,0.8,25,2070.0,2070.0,51750,51750,2587.5,1725.0,2115.0,,,,,,,,,,,,,,1,35,25,“唱片”收藏箱
归溟幽灵鲨,SPECIAL,dollkeeper,5,2,生存的重压,physical,base,0,0,900.0,737.0,80.0,0.0,83.0,0.0,2.52,1,1,25.0,2.2,12,2268.0,2268.0,27216,27216,1088.6,680.4,972.9,,,,,,,,,,,,,,1,40,25,“唱片”收藏箱
号角,TANK,fortress,5,0,照明榴弹,physical,base,0,0,1351.2,936.0,70.0,0.0,120.0,0.2,2.8,1,1,,,2,3783.4,3783.4,7566,7566,,756.7,1432.3,,,,,,,,,,,,,,1,5,0,旧日新装
号角,TANK,fortress,5,1,暴风号令,mixed,base,0,0,1351.2,936.0,70.0,0.0,120.0,0.2,2.4,1,1,22.950819672131146,2.2950819672131146,10,3242.9,4053.6,32428,40536,1766.2,1353.4,1642.1,,,,,,,,,,,,,,1,25,18,旧日新装
号角,TANK,fortress,5,2,终极防线,physical,base,0,0,1351.2,936.0,70.0,0.0,120.0,0.2,1.7,1,1,24.0,0.8196721311475408,30,2297.0,2297.0,68911,68911,2871.3,2026.8,2225.5,,,,,,,,,,,,,,1,35,25,旧日新装
赫德雷,WARRIOR,crusher,5,0,重锋不熄,physical,base,0,0,1816.0,1576.0,80.0,0.0,160.0,0.0,2.6,1,1,,,1,4721.6,4721.6,4721,4721,,,,,,,,,,,,,,,,,2,2,0,笔迹
赫德雷,WARRIOR,crusher,5,1,余烬重荷,physical,base,0,0,1816.0,1576.0,80.0,0.0,160.0,0.0,1.4,1,1,,,1,2542.4,2542.4,2542,2542,,508.5,1234.9,,,,,,,,,,,,,,1,5,0,笔迹
赫德雷,WARRIOR,crusher,5,2,死境硝烟,true,base,0,0,1816.0,1576.0,80.0,0.0,160.0,0.0,2.2,1,1,70.0,2.5,28,3995.2,3995.2,111865,111865,1598.1,1398.3,1489.1,,,,,,,,,,,,,,1,50,40,笔迹
黑,SNIPER,closerange,5,0,强弩,physical,base,0,0,1144.8,840.0,100.0,0.0,120.0,0.08,2.2,1,1,,,1,2518.6,2518.6,2518,2518,,,,,,,,,,,,,,,,,2,3,0,老剃刀
黑,SNIPER,closerange,5,1,暮眼锐瞳,physical,base,0,0,1144.8,840.0,100.0,0.0,120.0,0.08,2.3,1,1,40.0,1.6,25,2633.0,2633.0,65826,65826,1645.7,1316.5,1476.8,,,,,,,,,,,,,,1,30,20,老剃刀
黑,SNIPER,closerange,5,2,战术的终结,physical,base,0,0,1144.8,840.0,100.0,0.0,120.0,0.08,2.8,1,1,25.0,2.0,13,3205.4,3205.4,41670,41670,1666.8,1096.6,1367.7,,,,,,,,,,,,,,1,25,12,老剃刀
黑键,CASTER,mystic,5,0,渐快急板,arts,base,0,0,1685.0,1400.0,150.0,0.0,135.0,0.0,0.5,1,1,5.0,2.4384615384615387,3,842.5,842.5,2527,2527,505.5,168.5,730.2,,,,,,,,,,,,,,1,15,5,“乐理阐释者”
黑键,CASTER,mystic,5,1,荒芜回响,arts,base,0,0,1685.0,1400.0,150.0,0.0,135.0,0.0,2.45,1,1,,,1,4128.2,4128.2,4128,4128,,317.6,1095.2,,,,,,,,,,,,,,1,13,0,“乐理阐释者”
黑键,CASTER,mystic,5,2,寂静之声,arts,base,0,0,1685.0,1400.0,150.0,0.0,135.0,0.0,1.65,1,1,30.0,1.4285714285714286,21,2780.2,2780.2,58385,58385,1946.2,1459.6,1754.5,,,,,,,,,,,,,,1,20,10,“乐理阐释者”
赫拉格,WARRIOR,musha,5,0,新月,physical,base,0,0,922.0,762.0,70.0,0.0,90.0,0.0,1.75,1,1,,,1,1613.5,1613.5,1613,1613,,,,,,,,,,,,,,,,,2,2,0,藏锋
赫拉格,WARRIOR,musha,5,1,弦月,physical,base,0,0,922.0,762.0,70.0,0.0,90.0,0.0,1.8,1,1,13.0,1.2,11,1659.6,1659.6,18255,18255,1404.3,793.7,1154.5,,,,,,,,,,,,,,1,25,15,藏锋
赫拉格,WARRIOR,musha,5,2,满月,physical,base,0,0,922.0,762.0,70.0,0.0,90.0,0.0,2.0,1,3.0,15.0,1.2,13,1844.0,1844.0,23972,23972,1598.1,684.9,1132.7,,,,,71916,,,,,,,,,1,35,15,藏锋
鸿雪,SNIPER,closerange,5,0,抑扬格,physical,base,0,0,1066.0,876.0,70.0,0.0,120.0,0.0,3.6,1,1,,,1,3837.6,3837.6,3837,3837,,,,,,,,,,,,,,,,,2,20,0,仪式感
鸿雪,SNIPER,closerange,5,1,点题,physical,base,0,0,1066.0,876.0,70.0,0.0,120.0,0.0,2.3,1,1,,,1,2451.8,2451.8,2451,2451,,,,,,,,,,,,,,,,,1,9,9,仪式感
鸿雪,SNIPER,closerange,5,2,锐笔速写,physical,base,0,0,1066.0,876.0,70.0,0.0,120.0,0.0,2.0,1,1,30.0,1.0,30,2132.0,2132.0,63960,63960,2132.0,1522.9,1725.9,,,,,,,,,,,,,,1,35,23,仪式感
煌,WARRIOR,centurion,5,0,强力击·γ型,physical,base,0,0,911.0,765.0,60.0,0.0,86.0,0.0,2.9,1,1,,,1,2641.9,2641.9,2641,2641,,,,,,,,,,,,,,,,,2,2,0,过载的武器与过热的心脏
煌,WARRIOR,centurion,5,1,链锯延伸模块,physical,base,0,0,911.0,765.0,60.0,0.0,86.0,0.0,2.0,1,1,,,1,1822.0,1822.0,1822,1822,,26.0,793.9,,,,,,,,,,,,,,1,70,0,过载的武器与过热的心脏
煌,WARRIOR,centurion,5,2,沸腾爆裂,physical,base,0,0,911.0,765.0,60.0,0.0,86.0,0.0,1.8,1,1,10.0,1.2,9,1639.8,1639.8,14758,14758,1475.8,737.9,1147.9,,,,,,,,,,,,,,1,35,25,过载的武器与过热的心脏
荒芜拉普兰德,CASTER,funnel,5,0,慵怠者悲鸣,arts,base,0,0,435.0,342.0,60.0,0.0,33.0,0.0,1.35,1,1,,,1,587.2,587.2,587,587,,97.9,532.9,,,,,,,,,,,,,,1,6,0,狼时
荒芜拉普兰德,CASTER,funnel,5,1,逐猎狂飙,arts,base,0,0,435.0,342.0,60.0,0.0,33.0,0.0,2.2,1,1,22.0,1.1818181818181819,19,957.0,957.0,18183,18183,826.5,568.2,690.6,,,,,,,,,,,,,,1,28,18,狼时
荒芜拉普兰德,CASTER,funnel,5,2,终幕·浩劫,mixed,base,0,0,435.0,342.0,60.0,0.0,33.0,0.0,1.8,1.3,1,40.0,1.1818181818181819,34,783.0,1305.0,34608,57681,1442.0,1030.0,1269.3,,,,,,,,,,,,,,1,54,38,狼时
灰烬,SNIPER,fastshot,5,0,支援射击,physical,base,0,0,664.0,534.0,90.0,0.0,40.0,0.0,1.15,2.0,1,,,1,763.6,763.6,1527,1527,,33.9,757.0,,,,,,,,,,,,,,1,45,0,破墙榴弹战术收纳包
灰烬,SNIPER,fastshot,5,2,攻坚榴弹,physical,base,0,0,664.0,534.0,90.0,0.0,40.0,0.0,3.0,1,1,,,1,1992.0,1992.0,1992,1992,,79.7,796.8,,,,,,,,,,,,,,1,25,0,破墙榴弹战术收纳包
霍尔海雅,CASTER,corecaster,5,0,但为求索,arts,base,0,0,803.0,633.0,90.0,0.0,80.0,0.0,3.0,1,1,,,3,2409.0,2409.0,7227,7227,,344.1,879.5,,,,,,,,,,,,,,1,7,0,霍尔海雅特限证章
霍尔海雅,CASTER,corecaster,5,1,群星逶迤,arts,base,0,0,803.0,633.0,90.0,0.0,80.0,0.0,0.45,1,1,16.0,1.6,10,361.4,361.4,3613,3613,225.8,172.1,325.0,,,,,,,,,,,,,,1,30,25,霍尔海雅特限证章
缄默德克萨斯,SPECIAL,executor,5,0,细雨无声,arts,base,0,0,873.6,569.0,90.0,0.0,69.0,0.2,1.7,1,1,12.0,0.808695652173913,15,1485.1,1485.1,22276,22276,1856.4,,,,,,,,,,,,,,,,8,0,0,“新车和新生活”
缄默德克萨斯,SPECIAL,executor,5,1,阵雨连绵,arts,base,0,0,873.6,569.0,90.0,0.0,69.0,0.2,3.7199999999999998,1,1,10.0,0.808695652173913,13,3249.8,3249.8,42247,42247,4224.7,,,,,,,,,,,,,,,,8,0,0,“新车和新生活”
缄默德克萨斯,SPECIAL,executor,5,2,剑雨滂沱,arts,base,0,0,873.6,569.0,90.0,0.0,69.0,0.2,1.3,1,4.0,8.0,0.808695652173913,10,1135.7,1135.7,11356,11356,1419.6,,,,,,,45427,,,,,,,,,8,0,0,“新车和新生活”
假日威龙陈,SNIPER,reaperrange,5,0,高压冲击,physical,base,0,0,953.0,773.0,80.0,0.0,100.0,0.0,2.0,1,1,9.2,2.3,4,1906.0,1906.0,7624,7624,828.7,,,,,,,,,,,,,,,,2,5,0,假期的最后一天
假日威龙陈,SNIPER,reaperrange,5,1,“堇青之夜”,physical,base,0,0,953.0,773.0,80.0,0.0,100.0,0.0,1.8,1,1,18.4,2.3,8,1715.4,1715.4,13723,13723,745.8,519.8,664.2,,,,,,,,,,,,,,1,20,12,假期的最后一天
假日威龙陈,SNIPER,reaperrange,5,2,“假日风暴”,physical,base,0,0,953.0,773.0,80.0,0.0,100.0,0.0,2.0,2,1,36.8,2.3,16,1906.0,1906.0,60992,60992,1657.4,986.9,1156.6,,,,,,,,,,,,,,1,55,30,假期的最后一天
棘刺,WARRIOR,lord,5,0,攻击力强化·γ型,physical,base,0,0,816.0,711.0,30.0,0.0,75.0,0.0,2.0,1,1,30.0,1.2149532710280373,25,1632.0,1632.0,40800,40800,1360.0,906.7,1142.4,,,,,,,,,,,,,,1,30,15,沙蚀
棘刺,WARRIOR,lord,5,1,护身尖刺,physical,base,0,0,816.0,711.0,30.0,0.0,75.0,0.0,1.6,1,4.0,40.0,1.2149532710280373,33,1305.6,1305.6,43084,43084,1077.1,783.4,976.2,,,,,172339,,,,,,,,,1,25,10,沙蚀
棘刺,WARRIOR,lord,5,2,至高之术,physical,base,0,0,816.0,711.0,30.0,0.0,75.0,0.0,1.6,1,1,30.0,0.9848484848484849,31,1305.6,1305.6,40473,40473,1349.1,,,,,,,,,,,,,,,,2,15,0,沙蚀
酒神,SUPPORT,ritualist,5,0,暗夜回声,arts,base,0,0,572.0,490.0,40.0,0.0,42.0,0.0,1.5,1,1,,,1,858.0,858.0,858,858,,,,,,,,,,,,,,,,,2,2,2,酒神之心
