char_name,profession,sub_profession,rarity,atk,max_hp,def,magic_resistance,range_size,fragile,def_shred_pct,def_shred_flat,slow,ally_atk_pct,ally_as,control_dur,inspire_pct,inspire_atk,support_score,effects
凛御银灰,PIONEER,counsellor,5,653.0,2318,497.0,15.0,2,0.2526315789473684,0.0,0.0,0.0,0.0,0.0,7.5,0.0,653.0,32.8,脆弱+30%(覆盖84%); 冻结15s(覆盖100%)
伊内丝,PIONEER,agent,5,674.0,2421,311.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.0,0.0,
伊芙利特,CASTER,blastcaster,5,1052.0,1680,130.0,19.6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1052.0,0.0,
谬因,CASTER,blastcaster,5,1425.6,1860,128.0,20.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1425.6,0.0,
莫斯提马,CASTER,splashcaster,5,1021.0,1831,132.0,20.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,0.0,
艾雅法拉,CASTER,corecaster,5,976.0,1923,122.0,20.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.0,0.0,
刻俄柏,CASTER,corecaster,5,887.8,1745,128.0,20.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.8,0.0,
霍尔海雅,CASTER,corecaster,5,803.0,1900,130.0,20.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.0,0.0,
逻各斯,CASTER,corecaster,5,828.0,1833,119.0,10.0,10,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.4,0.0,828.0,11.1,减速40%(覆盖67%); 停顿0.8s(覆盖100%)
夕,CASTER,splashcaster,5,1132.2,1801,127.0,20.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1132.2,0.0,
玛露西尔,CASTER,splashcaster,5,1327.2,1805,175.5,20.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1327.2,0.0,
Pith,CASTER,splashcaster,5,1302.0,1950,112.0,20.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1302.0,0.0,
异客,CASTER,chain,5,943.9,1618,130.0,20.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,943.9,0.0,
卡涅利安,CASTER,phalanx,5,1021.0,2106,296.0,15.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,0.0,
林,CASTER,phalanx,5,996.0,2048,335.0,15.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,996.0,0.5,晕眩1s(覆盖100%)
圣聆初雪,CASTER,phalanx,5,991.0,2058,333.0,15.0,13,0.0,0.0,0.0,0.12,0.0,0.0,2.0,0.0,991.0,6.8,减速10%(覆盖100%); 减速10%(覆盖100%); 减速10%(覆盖100%); 减速10%(覆盖100%); 减速12%(覆盖100%); 减速12%(覆盖100%); 冻结4s(覆盖100%)
澄闪,CASTER,funnel,5,436.0,1480,125.0,20.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,0.0,
荒芜拉普兰德,CASTER,funnel,5,435.0,1663,117.0,20.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,0.0,
黑键,CASTER,mystic,5,1685.0,1853,135.0,20.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1685.0,0.0,
维伊,CASTER,mystic,5,1793.0,1970,121.0,20.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1793.0,0.0,
妮芙,CASTER,primcaster,5,849.8,1800,129.0,15.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849.8,0.0,
烛煌,CASTER,primcaster,5,839.0,1728,131.0,15.0,10,0.0,0.0,0.0,0.5,0.0,0.0,2.5,0.0,839.0,22.5,晕眩5s(覆盖100%)
真言,CASTER,primcaster,5,842.0,1753,130.0,15.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,842.0,0.0,
死芒,CASTER,soulcaster,5,735.0,2126,179.0,30.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,0.0,
灵知,SUPPORT,underminer,5,595.0,2135,132.0,25.0,16,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595.0,27.0,脆弱+15%(覆盖100%); 脆弱+17%(覆盖100%); 脆弱+25%(覆盖100%); 脆弱+27%(覆盖100%)
安洁莉娜,SUPPORT,slower,5,682.0,1385,120.0,25.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0,0.0,
铃兰,SUPPORT,slower,5,1232.6,1600,128.0,25.0,12,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1232.6,23.0,脆弱+20%(覆盖100%); 脆弱+23%(覆盖100%)
Raidian,SUPPORT,slower,5,627.0,1548,125.0,25.0,12,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.0,20.0,脆弱+25%(覆盖80%)
溯光星源,SUPPORT,slower,5,737.0,1535,125.0,25.0,12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.0,12.0,脆弱+10%(覆盖100%); 脆弱+12%(覆盖100%)
麦哲伦,SUPPORT,summoner,5,559.0,1553,140.0,20.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0,0.0,
电弧,SUPPORT,summoner,5,617.1,1533,182.6,20.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,617.1,0.8,停顿2s(覆盖75%)
浊心斯卡蒂,SUPPORT,bard,5,453.0,1733,280.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,453.0,21.7,"鼓舞(施法者攻击力+60%,覆盖100%); 鼓舞(施法者攻击力+110%,覆盖50%)"
魔王,SUPPORT,bard,5,460.1,2208,236.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.1,0.0,
淬羽赫默,SUPPORT,blessing,5,592.0,2669,184.0,25.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592.0,0.0,
遥,SUPPORT,blessing,5,587.0,2447,178.0,25.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,0.0,
令,SUPPORT,summoner,5,574.7,1579,138.0,20.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.7,0.0,
白铁,SUPPORT,craftsman,5,678.0,2723,506.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678.0,0.0,
娜斯提,SUPPORT,craftsman,5,654.0,3010,521.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654.0,0.0,
塑心,SUPPORT,ritualist,5,565.0,1711,109.0,15.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,565.0,0.1,停顿0.2s(覆盖100%)
酒神,SUPPORT,ritualist,5,572.0,1700,104.0,15.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,0.0,
傀影,SPECIAL,executor,5,795.3,1645,352.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795.3,0.0,
缄默德克萨斯,SPECIAL,executor,5,873.6,1758,320.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,873.6,0.0,
麒麟R夜刀,SPECIAL,executor,5,796.6,1829,318.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,796.6,0.0,
弑君者,SPECIAL,executor,5,723.0,1830,325.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723.0,0.0,
Misery,SPECIAL,executor,5,738.3,1594,321.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.3,0.0,
老鲤,SPECIAL,merchant,5,956.8,2727,515.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,956.8,3.0,晕眩3s(覆盖100%); 冻结3s(覆盖100%)
琳琅诗怀雅,SPECIAL,merchant,5,1021.7,2660,517.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1021.7,0.1,停顿3s(覆盖4%)
温蒂,SPECIAL,pusher,5,952.8,2343,439.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,952.8,0.0,
阿,SPECIAL,geek,5,828.0,2334,152.0,10.0,12,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,828.0,1.2,晕眩0.6s(覆盖100%); 停顿1s(覆盖100%); 晕眩0.8s(覆盖100%); 停顿1.2s(覆盖100%); 晕眩1s(覆盖100%); 停顿1.4s(覆盖100%)
新约能天使,SPECIAL,geek,5,918.9,2560,150.0,10.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,918.9,0.0,
歌蕾蒂娅,SPECIAL,hookmaster,5,925.0,2309,426.0,0.0,4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,925.0,20.0,
水月,SPECIAL,stalker,5,1210.0,1998,356.0,30.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1210.0,0.0,
阿斯卡纶,SPECIAL,stalker,5,1034.0,1823,433.0,30.0,10,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,1034.0,24.0,
归溟幽灵鲨,SPECIAL,dollkeeper,5,900.0,3663,352.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,
多萝西,SPECIAL,traper,5,735.4,1502,202.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.4,0.0,
艾拉,SPECIAL,traper,5,728.0,1468,203.0,0.0,12,0.18421052631578946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.0,18.4,脆弱+35%(覆盖53%)
望,SPECIAL,traper,5,729.0,1630,174.0,0.0,12,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,729.0,20.0,减速50%(覆盖100%)
引星棘刺,SPECIAL,alchemist,5,679.6,1493,106.0,30.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679.6,0.0,
予愿安洁莉娜,SPECIAL,skywalker,5,944.7,2685,520.0,0.0,3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,944.7,24.0,
闪灵,MEDIC,physician,5,841.2,1613,238.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841.2,0.0,
Touch,MEDIC,physician,5,645.0,1710,145.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,0.0,
夜莺,MEDIC,ringhealer,5,485.0,1705,169.0,25.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,0.0,
凯尔希,MEDIC,physician,5,550.0,2033,280.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,550.0,1.5,晕眩3s(覆盖100%)
流明,MEDIC,healer,5,630.0,1985,141.0,10.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,0.0,
纯烬艾雅法拉,MEDIC,wandermedic,5,529.0,1737,109.0,10.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.0,0.0,
焰影苇草,MEDIC,incantationmedic,5,666.8,1738,114.0,20.0,12,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.8,20.0,脆弱+10%(覆盖100%); 脆弱+2%(覆盖100%); 脆弱+20%(覆盖100%); 脆弱+2%(覆盖100%)
缇缇,MEDIC,incantationmedic,5,651.0,1755,117.0,20.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651.0,0.0,
Mon3tr,MEDIC,chainhealer,5,778.8,2235,261.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.8,0.0,
凯尔希·思衡托,MEDIC,watchman,5,510.0,2650,382.5,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,0.0,
星熊,TANK,protector,5,756.0,3850,936.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.0,0.0,
Mechanist,TANK,protector,5,402.0,3740,874.5,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,0.0,
塞雷娅,TANK,guardian,5,635.2,3500,681.2,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.2,0.0,
瑕光,TANK,guardian,5,650.0,3702,601.0,10.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,0.0,
黍,TANK,guardian,5,648.5,3900,712.0,10.0,1,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,648.5,8.3,友方攻击+25%(覆盖67%)
年,TANK,protector,5,689.0,5625,826.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689.0,0.0,
泥岩,TANK,unyield,5,967.0,4428,732.0,10.0,2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,967.0,24.0,
斥罪,TANK,unyield,5,1001.0,4655,686.0,10.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,
森蚺,TANK,duelist,5,1207.0,4848,685.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1207.0,0.0,
号角,TANK,fortress,5,1351.2,5575,756.4,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.2,0.0,
涤火杰西卡,TANK,shotprotector,5,665.0,3933,892.4,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665.0,0.0,
信仰搅拌机,TANK,shotprotector,5,733.7,3677,856.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.7,0.0,
机械师,TANK,shotprotector,5,673.0,3631,845.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.0,0.0,
余,TANK,primprotector,5,800.0,4033,607.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,
珊比,TANK,primprotector,5,786.0,4264,601.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.0,0.0,
斩业星熊,TANK,artsprotector,5,922.3,3876,616.0,15.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922.3,0.0,
山,WARRIOR,fighter,5,706.9,2995,482.4,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706.9,0.0,
重岳,WARRIOR,fighter,5,725.0,2635,428.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0,0.0,
贝洛内,WARRIOR,fighter,5,745.0,2855,385.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.0,0.0,
银灰,WARRIOR,lord,5,1041.2,2890,447.0,10.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041.2,0.0,
棘刺,WARRIOR,lord,5,816.0,2762,472.0,10.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0,0.0,
仇白,WARRIOR,lord,5,823.0,2480,497.0,10.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823.0,0.0,
丰川祥子,WARRIOR,lord,5,848.0,2656,425.0,10.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.0,0.0,
领主·Sharp,WARRIOR,lord,5,977.5,2902,462.0,10.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.5,0.0,
赫德雷,WARRIOR,crusher,5,1816.0,6888,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1816.0,0.0,
乌尔比安,WARRIOR,crusher,5,1799.0,7152,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1799.0,0.0,
佩佩,WARRIOR,hammer,5,1708.7,3151,432.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1708.7,0.0,
怒潮凛冬,WARRIOR,hammer,5,1590.3,3330,573.4,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1590.3,0.0,
陈,WARRIOR,sword,5,856.7,2880,510.6,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,856.7,0.0,
艾丽妮,WARRIOR,sword,5,781.0,2935,369.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.0,0.0,
锏,WARRIOR,sword,5,826.2,3041,389.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.2,0.0,
煌,WARRIOR,centurion,5,911.0,3106,415.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.0,0.0,
百炼嘉维尔,WARRIOR,centurion,5,1004.6,3106,548.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.6,0.0,
史尔特尔,WARRIOR,artsfghter,5,832.0,2916,414.0,20.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832.0,0.0,
薇薇安娜,WARRIOR,artsfghter,5,806.0,3340,447.0,15.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806.0,0.0,
维娜·维多利亚,WARRIOR,artsfghter,5,861.0,2895,493.0,15.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861.0,0.0,
赤刃明霄陈,WARRIOR,artsfghter,5,937.9,3330,425.0,15.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.9,0.0,
赫拉格,WARRIOR,musha,5,922.0,4575,334.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922.0,0.0,
左乐,WARRIOR,musha,5,910.0,4198,415.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.0,0.0,
帕拉斯,WARRIOR,instructor,5,820.0,2473,455.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,0.0,
耀骑士临光,WARRIOR,fearless,5,1254.0,4080,295.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1254.0,1.5,晕眩2s(覆盖100%); 晕眩3s(覆盖100%)
止颂,WARRIOR,fearless,5,1354.1,4332,277.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1354.1,0.0,
Sharp,WARRIOR,fearless,5,1362.0,4012,287.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362.0,0.0,
圣约送葬人,WARRIOR,reaper,5,959.8,2841,491.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,959.8,0.0,
隐德来希,WARRIOR,reaper,5,825.0,2880,502.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.0,0.0,
玛恩纳,WARRIOR,librator,5,420.0,4626,502.0,15.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,
司霆惊蛰,WARRIOR,librator,5,432.0,4583,527.0,15.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,0.0,
斯卡蒂,WARRIOR,fearless,5,1368.0,4186,303.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368.0,0.0,
白面鸮,MEDIC,ringhealer,4,437.0,1710,150.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,0.0,
微风,MEDIC,ringhealer,4,420.0,2179,153.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,
瑰盐,MEDIC,ringhealer,4,406.9,1975,151.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.9,0.0,
凛冬,PIONEER,pioneer,4,470.0,2410,457.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,0.0,
德克萨斯,PIONEER,pioneer,4,612.0,2105,365.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0,0.0,
贾维,PIONEER,pioneer,4,729.1,1824,433.5,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.1,0.0,
青枳,PIONEER,pioneer,4,475.0,2970,447.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,0.0,
郁金香,PIONEER,pioneer,4,582.0,1855,357.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.0,0.0,
红隼,PIONEER,pioneer,4,594.0,2140,382.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.0,0.0,
松桐,PIONEER,counsellor,4,715.0,2002,420.0,15.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.0,0.0,
苇草,PIONEER,charger,4,697.0,2395,364.0,20.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,0.0,
野鬃,PIONEER,charger,4,688.0,2225,372.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.0,0.0,
历阵锐枪芬,PIONEER,charger,4,705.0,2226,360.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.0,0.0,
极境,PIONEER,bearer,4,533.0,1819,450.0,0.0,2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,533.0,24.0,
万顷,PIONEER,bearer,4,514.0,1751,485.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,0.0,
嘉辛塔,PIONEER,bearer,4,502.0,1783,492.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,0.0,
夜半,PIONEER,tactician,4,574.2,1775,153.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.2,0.0,
渡桥,PIONEER,tactician,4,595.0,1520,122.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595.0,0.0,
晓歌,PIONEER,agent,4,735.1,2137,297.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.1,0.0,
谜图,PIONEER,agent,4,639.0,2080,264.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.0,0.0,
齐尔查克,PIONEER,agent,4,560.0,2280,342.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0,
寻澜,PIONEER,agent,4,600.0,2250,306.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,
诗怀雅,WARRIOR,instructor,4,848.1,2084,443.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.1,0.0,
鞭刃,WARRIOR,instructor,4,727.0,1932,573.4,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.0,0.0,
