size,dps,skill,supports,def,combined,uplift,utility
4,忍冬,隐狐之艺,初雪+海蒂+华法琳,300,9118,2.126,0.0
4,百炼嘉维尔,丛林之魂,巫恋+铃兰+华法琳,300,9116,1.633,0.0
4,新约能天使,开火成瘾症,巫恋+海蒂+灵知,300,9112,1.225,0.0
4,新约能天使,开火成瘾症,初雪+濯尘芙蓉+华法琳,1200,9100,2.507,4.5
4,灵知,失温症,凛御银灰+巫恋+海蒂,300,9100,1.301,0.0
4,灵知,失温症,凛御银灰+初雪+海蒂,300,9100,1.301,0.0
4,烛煌,众恶的焚场,海蒂+灵知+华法琳,300,9100,1.365,0.0
4,涤火杰西卡,饱和迸射,凛御银灰+巫恋+华法琳,300,9098,1.513,0.0
4,艾拉,“博萨克风暴”,巫恋+海蒂+华法琳,300,9093,1.901,0.0
4,新约能天使,开火成瘾症,凛御银灰+初雪+海蒂,300,9092,1.221,0.0
4,能天使,过载模式,巫恋+初雪+灵知,300,9087,2.124,0.0
4,能天使,过载模式,巫恋+初雪+灵知,1200,9087,37.6,0.0
3,新约能天使,开火成瘾症,巫恋+华法琳,300,9078,1.217,0.0
4,新约能天使,开火成瘾症,巫恋+塞雷娅+华法琳,300,9078,1.217,6.0
4,新约能天使,开火成瘾症,巫恋+华法琳+阿斯卡纶,300,9078,1.217,6.0
4,新约能天使,开火成瘾症,巫恋+华法琳+予愿安洁莉娜,300,9078,1.217,6.0
4,新约能天使,开火成瘾症,巫恋+华法琳+泥岩,300,9078,1.217,6.0
4,新约能天使,开火成瘾症,巫恋+华法琳+和弦,300,9078,1.217,6.0
4,新约能天使,开火成瘾症,巫恋+华法琳+夜魔,300,9078,1.217,6.0
4,新约能天使,开火成瘾症,巫恋+华法琳+烛煌,300,9078,1.217,7.5
4,能天使,过载模式,凛御银灰+海蒂+华法琳,300,9061,2.115,0.0
4,涤火杰西卡,掩蔽护卫,巫恋+初雪+海蒂,300,9055,2.145,0.0
4,涤火杰西卡,掩蔽护卫,巫恋+初雪+海蒂,1200,9055,45.685,0.0
4,灵知,失温症,凛御银灰+铃兰+华法琳,300,9029,1.283,0.0
4,能天使,扫射模式,初雪+海蒂+华法琳,300,9028,2.576,0.0
4,新约能天使,开火成瘾症,凛御银灰+濯尘芙蓉+华法琳,300,9026,1.204,4.5
4,涤火杰西卡,饱和迸射,凛御银灰+海蒂+华法琳,300,9023,1.492,0.0
4,烛煌,众恶的焚场,凛御银灰+灵知+华法琳,300,9023,1.345,0.0
4,忍冬,隐狐之艺,巫恋+海蒂+华法琳,300,9014,2.091,0.0
4,新约能天使,开火成瘾症,凛御银灰+巫恋+海蒂,300,9013,1.201,0.0
4,新约能天使,开火成瘾症,巫恋+极境+华法琳,1200,9011,2.473,6.0
4,新约能天使,开火成瘾症,巫恋+引星棘刺+华法琳,1200,9011,2.473,0.0
4,能天使,过载模式,凛御银灰+巫恋+初雪,300,9006,2.096,0.0
4,能天使,过载模式,凛御银灰+巫恋+初雪,1200,9006,37.253,0.0
4,能天使,过载模式,初雪+海蒂+铃兰,300,9003,2.095,0.0
4,涤火杰西卡,饱和迸射,初雪+铃兰+华法琳,300,8993,1.484,0.0
4,烛煌,众恶的焚场,凛御银灰+海蒂+华法琳,300,8975,1.332,0.0
4,灵知,失温症,巫恋+海蒂+铃兰,300,8969,1.268,0.0
4,灵知,失温症,初雪+海蒂+铃兰,300,8969,1.268,0.0
4,涤火杰西卡,饱和迸射,巫恋+铃兰+华法琳,300,8967,1.477,0.0
4,新约能天使,开火成瘾症,初雪+海蒂+铃兰,300,8962,1.189,0.0
4,烛煌,众恶的焚场,巫恋+海霓+华法琳,300,8949,1.325,6.0
4,烛煌,众恶的焚场,初雪+海霓+华法琳,300,8949,1.325,6.0
4,能天使,过载模式,巫恋+海蒂+灵知,300,8946,2.076,0.0
4,涤火杰西卡,掩蔽护卫,初雪+灵知+华法琳,300,8918,2.098,0.0
4,涤火杰西卡,饱和迸射,初雪+灵知+华法琳,1200,8904,1.854,0.0
4,能天使,过载模式,巫恋+初雪+铃兰,300,8899,2.06,0.0
4,能天使,过载模式,巫恋+初雪+铃兰,1200,8899,36.8,0.0
4,百炼嘉维尔,丛林之魂,初雪+海霓+华法琳,300,8898,1.57,6.0
4,能天使,过载模式,海蒂+铃兰+华法琳,300,8897,2.059,0.0
4,烛煌,众恶的焚场,铃兰+灵知+华法琳,300,8889,1.31,0.0
4,领主·Sharp,沉默的爆发,初雪+海霓+华法琳,300,8888,1.505,6.0
4,新约能天使,开火成瘾症,巫恋+海蒂+铃兰,300,8884,1.17,0.0
4,新约能天使,开火成瘾症,海蒂+濯尘芙蓉+华法琳,300,8877,1.168,4.5
4,新约能天使,开火成瘾症,铃兰+濯尘芙蓉+华法琳,300,8877,1.168,4.5
4,新约能天使,开火成瘾症,巫恋+初雪+灵知,300,8867,1.166,0.0
4,新约能天使,开火成瘾症,巫恋+初雪+灵知,1200,8867,2.418,0.0
4,涤火杰西卡,饱和迸射,海蒂+铃兰+华法琳,300,8860,1.447,0.0
4,能天使,扫射模式,巫恋+海蒂+华法琳,300,8858,2.508,0.0
4,能天使,过载模式,凛御银灰+巫恋+海蒂,300,8849,2.042,0.0
4,涤火杰西卡,饱和迸射,巫恋+初雪+海蒂,300,8839,1.442,0.0
4,涤火杰西卡,饱和迸射,巫恋+初雪+海蒂,1200,8839,1.833,0.0
4,领主·Sharp,沉默的爆发,巫恋+海霓+华法琳,300,8832,1.489,6.0
4,灵知,失温症,海蒂+濯尘芙蓉+华法琳,300,8831,1.233,4.5
4,灵知,失温症,巫恋+濯尘芙蓉+华法琳,300,8830,1.233,4.5
4,灵知,失温症,初雪+濯尘芙蓉+华法琳,300,8830,1.233,4.5
4,百炼嘉维尔,丛林之魂,巫恋+海霓+华法琳,300,8823,1.549,6.0
4,涤火杰西卡,掩蔽护卫,凛御银灰+初雪+华法琳,300,8821,2.064,0.0
4,艾拉,“博萨克风暴”,初雪+灵知+华法琳,300,8818,1.813,0.0
4,烛煌,众恶的焚场,海蒂+铃兰+华法琳,300,8813,1.29,0.0
4,新约能天使,开火成瘾症,巫恋+濯尘芙蓉+华法琳,1200,8810,2.395,4.5
4,涤火杰西卡,饱和迸射,凛御银灰+初雪+华法琳,1200,8807,1.823,0.0
4,涤火杰西卡,饱和迸射,巫恋+灵知+华法琳,1200,8797,1.82,0.0
4,新约能天使,开火成瘾症,凛御银灰+巫恋+初雪,300,8788,1.146,0.0
4,新约能天使,开火成瘾症,凛御银灰+巫恋+初雪,1200,8788,2.387,0.0
4,烛煌,众恶的焚场,凛御银灰+铃兰+华法琳,300,8786,1.283,0.0
4,涤火杰西卡,掩蔽护卫,巫恋+灵知+华法琳,300,8758,2.042,0.0
4,灵知,失温症,凛御银灰+海霓+华法琳,300,8725,1.206,6.0
4,能天使,过载模式,巫恋+海蒂+铃兰,300,8722,1.999,0.0
4,艾拉,“博萨克风暴”,凛御银灰+初雪+华法琳,300,8722,1.783,0.0
4,艾拉,“博萨克风暴”,巫恋+灵知+华法琳,300,8722,1.783,0.0
4,能天使,过载模式,初雪+海霓+海蒂,300,8714,1.996,6.0
4,领主·Sharp,沉默的爆发,初雪+灵知+华法琳,1200,8707,2.571,0.0
4,能天使,扫射模式,巫恋+初雪+海蒂,300,8707,2.449,0.0
4,能天使,扫射模式,巫恋+初雪+海蒂,1200,8707,44.77,0.0
4,涤火杰西卡,饱和迸射,初雪+海霓+华法琳,300,8705,1.405,6.0
4,涤火杰西卡,饱和迸射,凛御银灰+巫恋+华法琳,1200,8702,1.789,0.0
4,涤火杰西卡,掩蔽护卫,初雪+铃兰+华法琳,300,8695,2.02,0.0
3,能天使,过载模式,初雪+华法琳,300,8686,1.987,0.0
4,能天使,过载模式,初雪+塞雷娅+华法琳,300,8686,1.987,6.0
4,能天使,过载模式,初雪+华法琳+阿斯卡纶,300,8686,1.987,6.0
4,能天使,过载模式,初雪+华法琳+予愿安洁莉娜,300,8686,1.987,6.0
4,能天使,过载模式,初雪+华法琳+泥岩,300,8686,1.987,6.0
4,能天使,过载模式,初雪+华法琳+和弦,300,8686,1.987,6.0
4,能天使,过载模式,初雪+华法琳+夜魔,300,8686,1.987,6.0
4,能天使,过载模式,初雪+华法琳+烛煌,300,8686,1.987,7.5
4,新约能天使,开火成瘾症,巫恋+初雪+铃兰,300,8684,1.121,0.0
4,新约能天使,开火成瘾症,巫恋+初雪+铃兰,1200,8684,2.347,0.0
4,灵知,失温症,巫恋+海霓+海蒂,300,8682,1.195,6.0
4,灵知,失温症,初雪+海霓+海蒂,300,8682,1.195,6.0
4,涤火杰西卡,饱和迸射,初雪+铃兰+华法琳,1200,8681,1.782,0.0
4,涤火杰西卡,饱和迸射,巫恋+海霓+华法琳,300,8680,1.398,6.0
4,领主·Sharp,沉默的爆发,初雪+海蒂+华法琳,1200,8678,2.559,0.0
4,新约能天使,开火成瘾症,初雪+海霓+海蒂,300,8675,1.119,6.0
4,能天使,过载模式,巫恋+初雪+海霓,300,8664,1.979,6.0
4,能天使,过载模式,巫恋+初雪+海霓,1200,8664,35.8,6.0
4,涤火杰西卡,掩蔽护卫,凛御银灰+巫恋+华法琳,300,8663,2.009,0.0
4,贝洛内,军师的手段,巫恋+初雪+华法琳,300,8657,2.201,0.0
4,贝洛内,军师的手段,巫恋+初雪+华法琳,1200,8657,12.135,0.0
4,艾拉,“博萨克风暴”,凛御银灰+巫恋+华法琳,300,8627,1.752,0.0
4,涤火杰西卡,饱和迸射,凛御银灰+灵知+华法琳,300,8626,1.383,0.0
4,领主·Sharp,沉默的爆发,凛御银灰+灵知+华法琳,300,8624,1.431,0.0
4,领主·Sharp,沉默的爆发,凛御银灰+初雪+华法琳,1200,8613,2.532,0.0
4,忍冬,隐狐之艺,初雪+灵知+华法琳,300,8609,1.952,0.0
4,新约能天使,开火成瘾症,巫恋+海霓+海蒂,300,8600,1.1,6.0
4,艾拉,“博萨克风暴”,初雪+铃兰+华法琳,300,8598,1.743,0.0
4,烛煌,众恶的焚场,巫恋+濯尘芙蓉+华法琳,300,8593,1.233,4.5
4,烛煌,众恶的焚场,初雪+濯尘芙蓉+华法琳,300,8593,1.233,4.5
4,烛煌,众恶的焚场,海霓+灵知+华法琳,300,8593,1.233,6.0
4,灵知,失温症,海霓+铃兰+华法琳,300,8587,1.171,6.0
4,忍冬,隐狐之艺,巫恋+初雪+海蒂,300,8584,1.943,0.0
4,忍冬,隐狐之艺,巫恋+初雪+海蒂,1200,8584,13.892,0.0
4,涤火杰西卡,饱和迸射,巫恋+铃兰+华法琳,1200,8577,1.749,0.0
4,新约能天使,开火成瘾症,极境+灵知+华法琳,300,8573,1.094,6.0
4,新约能天使,开火成瘾症,灵知+引星棘刺+华法琳,300,8573,1.094,0.0
4,领主·Sharp,沉默的爆发,海蒂+灵知+华法琳,300,8568,1.415,0.0
4,能天使,扫射模式,初雪+灵知+华法琳,300,8556,2.389,0.0
4,新约能天使,开火成瘾症,海霓+濯尘芙蓉+华法琳,300,8548,1.088,10.5
4,百炼嘉维尔,丛林之魂,初雪+濯尘芙蓉+华法琳,300,8544,1.468,4.5
4,涤火杰西卡,掩蔽护卫,巫恋+铃兰+华法琳,300,8539,1.966,0.0
4,能天使,过载模式,海霓+海蒂+华法琳,300,8536,1.935,6.0
4,领主·Sharp,沉默的爆发,初雪+濯尘芙蓉+华法琳,300,8535,1.405,4.5
4,灵知,失温症,凛御银灰+海蒂+铃兰,300,8525,1.156,0.0
4,百炼嘉维尔,丛林之魂,凛御银灰+灵知+华法琳,300,8523,1.462,0.0
4,忍冬,隐狐之艺,凛御银灰+初雪+华法琳,300,8515,1.92,0.0
4,能天使,过载模式,初雪+极境+海蒂,300,8514,1.927,6.0
4,能天使,过载模式,初雪+海蒂+引星棘刺,300,8514,1.927,0.0
4,涤火杰西卡,饱和迸射,海蒂+灵知+华法琳,1200,8513,1.728,0.0
4,艾拉,“博萨克风暴”,巫恋+铃兰+华法琳,300,8504,1.713,0.0
4,涤火杰西卡,饱和迸射,海霓+海蒂+华法琳,300,8500,1.348,6.0
4,艾拉,“博萨克风暴”,巫恋+初雪+海蒂,300,8500,1.712,0.0
4,艾拉,“博萨克风暴”,巫恋+初雪+海蒂,1200,8500,5.369,0.0
4,涤火杰西卡,饱和迸射,铃兰+灵知+华法琳,300,8498,1.347,0.0
4,领主·Sharp,沉默的爆发,铃兰+灵知+华法琳,300,8496,1.394,0.0
4,烛煌,众恶的焚场,凛御银灰+海霓+华法琳,300,8490,1.206,6.0
4,领主·Sharp,沉默的爆发,初雪+铃兰+华法琳,1200,8489,2.482,0.0
4,忍冬,隐狐之艺,巫恋+灵知+华法琳,300,8484,1.909,0.0
4,百炼嘉维尔,丛林之魂,初雪+灵知+华法琳,1200,8483,3.271,0.0
4,领主·Sharp,沉默的爆发,巫恋+海蒂+华法琳,1200,8481,2.478,0.0
4,领主·Sharp,沉默的爆发,巫恋+濯尘芙蓉+华法琳,300,8481,1.39,4.5
4,百炼嘉维尔,丛林之魂,巫恋+濯尘芙蓉+华法琳,300,8473,1.447,4.5
4,领主·Sharp,沉默的爆发,巫恋+灵知+华法琳,1200,8470,2.474,0.0
4,百炼嘉维尔,丛林之魂,初雪+海蒂+华法琳,1200,8466,3.263,0.0
4,能天使,扫射模式,凛御银灰+初雪+华法琳,300,8463,2.352,0.0
4,百炼嘉维尔,丛林之魂,海蒂+灵知+华法琳,300,8459,1.443,0.0
4,新约能天使,开火成瘾症,凛御银灰+极境+华法琳,300,8456,1.065,6.0
4,新约能天使,开火成瘾症,凛御银灰+引星棘刺+华法琳,300,8456,1.065,0.0
4,烛煌,众恶的焚场,海霓+海蒂+华法琳,300,8455,1.197,6.0
4,新约能天使,开火成瘾症,巫恋+初雪+海霓,300,8454,1.065,6.0
4,新约能天使,开火成瘾症,巫恋+初雪+海霓,1200,8454,2.258,6.0
4,领主·Sharp,沉默的爆发,凛御银灰+海蒂+华法琳,300,8451,1.382,0.0
3,能天使,过载模式,巫恋+华法琳,300,8447,1.904,0.0
4,能天使,过载模式,巫恋+塞雷娅+华法琳,300,8447,1.904,6.0
4,能天使,过载模式,巫恋+华法琳+阿斯卡纶,300,8447,1.904,6.0
4,能天使,过载模式,巫恋+华法琳+予愿安洁莉娜,300,8447,1.904,6.0
4,能天使,过载模式,巫恋+华法琳+泥岩,300,8447,1.904,6.0
4,能天使,过载模式,巫恋+华法琳+和弦,300,8447,1.904,6.0
4,能天使,过载模式,巫恋+华法琳+夜魔,300,8447,1.904,6.0
4,能天使,过载模式,巫恋+华法琳+烛煌,300,8447,1.904,7.5
4,烛煌,众恶的焚场,巫恋+初雪+海蒂,300,8445,1.194,0.0
4,能天使,过载模式,巫恋+海霓+海蒂,300,8443,1.903,6.0
4,涤火杰西卡,掩蔽护卫,初雪+海霓+华法琳,300,8417,1.923,6.0
4,涤火杰西卡,饱和迸射,初雪+海蒂+灵知,300,8413,1.324,0.0
4,涤火杰西卡,饱和迸射,初雪+海霓+华法琳,1200,8403,1.693,6.0
4,涤火杰西卡,饱和迸射,凛御银灰+铃兰+华法琳,300,8399,1.32,0.0
4,领主·Sharp,沉默的爆发,凛御银灰+铃兰+华法琳,300,8398,1.367,0.0
4,涤火杰西卡,饱和迸射,凛御银灰+海蒂+华法琳,1200,8397,1.691,0.0
4,百炼嘉维尔,丛林之魂,铃兰+灵知+华法琳,300,8396,1.425,0.0
4,忍冬,隐狐之艺,初雪+铃兰+华法琳,300,8394,1.878,0.0
4,忍冬,隐狐之艺,凛御银灰+巫恋+华法琳,300,8392,1.877,0.0
4,百炼嘉维尔,丛林之魂,凛御银灰+初雪+华法琳,1200,8391,3.225,0.0
4,涤火杰西卡,饱和迸射,巫恋+海蒂+灵知,300,8387,1.317,0.0
4,能天使,过载模式,巫恋+初雪+濯尘芙蓉,300,8381,1.882,4.5
